dataset_id,dimension,bin_width_ps,frame_cap,frames_used_actual,method,method_status,backend_status,parity_fraction,max_iter,osd_order,bp_method,mapping,llr_mode,bitplane_rate_mode,n_frames_attempted,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,accepted_frame_fraction,raw_ser,post_ir_ser,leak_EC_actual_bits,leak_EC_per_input_bit,runtime_s,notes,param_hash
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,layered_ldpc_lite,ok,ldpc.BpOsdDecoder,0.67,20,0,minimum_sum,gray,bsc_estimated,uniform,4,1,3,0,0.25,0.2421875,0.1875,1848.0,0.721875,0.7454057999420911,backend=ldpc.BpOsdDecoder; parity_fraction=0.67; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed,6c4a3aa3591d6a87
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,layered_ldpc_lite,ok,ldpc.BpOsdDecoder,0.67,20,0,minimum_sum,gray,empirical_bitplane,uniform,4,2,2,0,0.5,0.2421875,0.12890625,1848.0,0.721875,0.7011648999759927,backend=ldpc.BpOsdDecoder; parity_fraction=0.67; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=empirical_bitplane; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed,89c3dfcd1eacb096
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.67,50,0,minimum_sum,gray,bsc_estimated,uniform,4,0,4,0,0.0,0.2421875,0.2421875,1848.0,0.721875,0.7396534000290558,backend=ldpc.BpOsdDecoder; parity_fraction=0.67; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.2421875; post_ir_ser=0.2421875,f3f67ce02bdd88ce
real_typeii_20db_d1024_bw100_blk0,1024,100,4,4,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.67,50,0,minimum_sum,gray,empirical_bitplane,uniform,4,0,4,0,0.0,0.2421875,0.2421875,1848.0,0.721875,0.7725706999190152,backend=ldpc.BpOsdDecoder; parity_fraction=0.67; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=empirical_bitplane; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/4; raw_ser=0.2421875; post_ir_ser=0.2421875,57e4bb455ba28c17
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.33,50,0,minimum_sum,gray,bsc_estimated,uniform,16,0,16,0,0.0,0.232421875,0.232421875,4032.0,0.39375,2.3248295000521466,backend=ldpc.BpOsdDecoder; parity_fraction=0.33; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/16; raw_ser=0.232421875; post_ir_ser=0.232421875,d4454f27a9eb20a7
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.33,20,0,minimum_sum,gray,empirical_bitplane,uniform,16,0,16,0,0.0,0.232421875,0.232421875,4032.0,0.39375,2.3812740000430495,backend=ldpc.BpOsdDecoder; parity_fraction=0.33; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=empirical_bitplane; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/16; raw_ser=0.232421875; post_ir_ser=0.232421875,36664bed739c8a88
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.33,20,0,minimum_sum,gray,empirical_bitplane,per_bitplane_raw_ber,16,0,16,0,0.0,0.232421875,0.232421875,3379.0,0.32998046875,2.385079300031066,backend=ldpc.BpOsdDecoder; parity_fraction=0.33; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=empirical_bitplane; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/16; raw_ser=0.232421875; post_ir_ser=0.232421875,0f733673f1309e79
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.33,50,0,minimum_sum,gray,empirical_bitplane,per_bitplane_raw_ber,16,0,16,0,0.0,0.232421875,0.232421875,3379.0,0.32998046875,2.315035799983889,backend=ldpc.BpOsdDecoder; parity_fraction=0.33; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=empirical_bitplane; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/16; raw_ser=0.232421875; post_ir_ser=0.232421875,3044eda2cc480862
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.33,20,0,minimum_sum,gray,bsc_estimated,per_bitplane_raw_ber,16,0,16,0,0.0,0.232421875,0.232421875,3379.0,0.32998046875,2.484069300000556,backend=ldpc.BpOsdDecoder; parity_fraction=0.33; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/16; raw_ser=0.232421875; post_ir_ser=0.232421875,a5c3eb6aba718dc3
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.33,50,0,minimum_sum,gray,bsc_estimated,per_bitplane_raw_ber,16,0,16,0,0.0,0.232421875,0.232421875,3379.0,0.32998046875,2.497436899924651,backend=ldpc.BpOsdDecoder; parity_fraction=0.33; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=per_bitplane_raw_ber; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/16; raw_ser=0.232421875; post_ir_ser=0.232421875,4265d0facc4ce2fc
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.33,50,0,minimum_sum,gray,empirical_bitplane,uniform,16,0,16,0,0.0,0.232421875,0.232421875,4032.0,0.39375,2.4885192998917773,backend=ldpc.BpOsdDecoder; parity_fraction=0.33; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=empirical_bitplane; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/16; raw_ser=0.232421875; post_ir_ser=0.232421875,dc6cca4ba93ed7f6
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,layered_ldpc_lite,decode_failed,ldpc.BpOsdDecoder,0.33,20,0,minimum_sum,gray,bsc_estimated,uniform,16,0,16,0,0.0,0.232421875,0.232421875,4032.0,0.39375,2.64945909997914,backend=ldpc.BpOsdDecoder; parity_fraction=0.33; column_weight=3; seed=20260428; osd_order=0; bp_method=minimum_sum; llr_mode=bsc_estimated; bitplane_rate_mode=uniform; unverified_policy=revert_to_bob_decode_failed; status_reason=decode_failed; success=0/16; raw_ser=0.232421875; post_ir_ser=0.232421875,475d47ecc9f56c8b
