dataset_id,dimension,bin_width_ps,frame_cap,frames_used_actual,method,method_status,backend_status,block_size_schedule,num_passes,permutation_mode,seed,n_frames_attempted,n_frames_success,n_frames_failed_decode,n_frames_failed_verify,accepted_frame_fraction,raw_ser,post_ir_ser,leak_EC_actual_bits,leak_EC_per_input_bit,runtime_s,notes,param_hash
real_typeii_20db_d1024_bw120_blk0,1024,120,4,4,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",4,identity,1,4,3,0,1,0.75,0.21875,0.0078125,1490.0,0.58203125,0.03453150007408112,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=4; permutation_mode=identity; parity_disclosures_bits=1200; bisection_disclosures_bits=162; verification_bits=128; other_disclosures_bits=0; candidate_flips=54; verified_flips=54; total_blocks_checked=600",1f589a8f8fc4f2a6
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,identity,1,16,5,0,11,0.3125,0.232421875,0.0390625,3704.0,0.36171875,0.20223029993940145,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=identity; parity_disclosures_bits=2400; bisection_disclosures_bits=792; verification_bits=512; other_disclosures_bits=0; candidate_flips=198; verified_flips=198; total_blocks_checked=1200",c6a64f370ed39663
real_typeii_20db_d1024_bw120_blk0,1024,120,4,4,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",6,identity,0,4,3,0,1,0.75,0.21875,0.0078125,1490.0,0.58203125,0.03766329993959516,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=6; permutation_mode=identity; parity_disclosures_bits=1200; bisection_disclosures_bits=162; verification_bits=128; other_disclosures_bits=0; candidate_flips=54; verified_flips=54; total_blocks_checked=600",47bfc7ece074fdaa
real_typeii_20db_d1024_bw120_blk0,1024,120,4,4,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",6,identity,1,4,3,0,1,0.75,0.21875,0.0078125,1490.0,0.58203125,0.037758300080895424,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=6; permutation_mode=identity; parity_disclosures_bits=1200; bisection_disclosures_bits=162; verification_bits=128; other_disclosures_bits=0; candidate_flips=54; verified_flips=54; total_blocks_checked=600",d825734b6395c173
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",6,identity,1,16,5,0,11,0.3125,0.232421875,0.0390625,3704.0,0.36171875,0.19212710007559508,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=6; permutation_mode=identity; parity_disclosures_bits=2400; bisection_disclosures_bits=792; verification_bits=512; other_disclosures_bits=0; candidate_flips=198; verified_flips=198; total_blocks_checked=1200",aec586233b5d565e
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",6,identity,0,16,5,0,11,0.3125,0.232421875,0.0390625,3704.0,0.36171875,0.20546990004368126,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=6; permutation_mode=identity; parity_disclosures_bits=2400; bisection_disclosures_bits=792; verification_bits=512; other_disclosures_bits=0; candidate_flips=198; verified_flips=198; total_blocks_checked=1200",2bc34cb99845dc99
real_typeii_20db_d1024_bw120_blk0,1024,120,4,4,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",4,seeded_random,0,4,4,0,0,1.0,0.21875,0.0,1502.0,0.58671875,0.07363469991832972,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=1200; bisection_disclosures_bits=174; verification_bits=128; other_disclosures_bits=0; candidate_flips=56; verified_flips=56; total_blocks_checked=600",ef3fd819508ca339
real_typeii_20db_d1024_bw120_blk0,1024,120,4,4,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",4,seeded_random,1,4,4,0,0,1.0,0.21875,0.0,1500.0,0.5859375,0.07890830002725124,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=1200; bisection_disclosures_bits=172; verification_bits=128; other_disclosures_bits=0; candidate_flips=56; verified_flips=56; total_blocks_checked=600",b9f654c90a774d3d
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",6,seeded_random,0,16,16,0,0,1.0,0.232421875,0.0,6077.0,0.59345703125,0.2688254000386223,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=6; permutation_mode=seeded_random; parity_disclosures_bits=4802; bisection_disclosures_bits=763; verification_bits=512; other_disclosures_bits=0; candidate_flips=238; verified_flips=238; total_blocks_checked=2401",90e9c5c1c4435fdb
real_typeii_20db_d1024_bw120_blk0,1024,120,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,identity,1,4,1,0,3,0.25,0.21875,0.0390625,912.0,0.35625,0.03939490008633584,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=identity; parity_disclosures_bits=600; bisection_disclosures_bits=184; verification_bits=128; other_disclosures_bits=0; candidate_flips=46; verified_flips=46; total_blocks_checked=300",b274fad8603600d1
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",4,seeded_random,0,16,16,0,0,1.0,0.232421875,0.0,6077.0,0.59345703125,0.29831750004086643,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=4802; bisection_disclosures_bits=763; verification_bits=512; other_disclosures_bits=0; candidate_flips=238; verified_flips=238; total_blocks_checked=2401",c28ff99e89e31963
real_typeii_20db_d1024_bw120_blk0,1024,120,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",6,identity,0,4,1,0,3,0.25,0.21875,0.0390625,912.0,0.35625,0.04104219994042069,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=6; permutation_mode=identity; parity_disclosures_bits=600; bisection_disclosures_bits=184; verification_bits=128; other_disclosures_bits=0; candidate_flips=46; verified_flips=46; total_blocks_checked=300",63bd09359267310c
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",6,seeded_random,1,16,16,0,0,1.0,0.232421875,0.0,6060.0,0.591796875,0.2964040000224486,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=6; permutation_mode=seeded_random; parity_disclosures_bits=4800; bisection_disclosures_bits=748; verification_bits=512; other_disclosures_bits=0; candidate_flips=238; verified_flips=238; total_blocks_checked=2400",a09833a965a0ddf8
real_typeii_20db_d1024_bw120_blk0,1024,120,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,seeded_random,0,4,4,0,0,1.0,0.21875,0.0,981.0,0.383203125,0.055295800091698766,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=602; bisection_disclosures_bits=251; verification_bits=128; other_disclosures_bits=0; candidate_flips=56; verified_flips=56; total_blocks_checked=301",3ddb0e813f8c9fa7
real_typeii_20db_d1024_bw120_blk0,1024,120,4,4,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",6,seeded_random,1,4,4,0,0,1.0,0.21875,0.0,1500.0,0.5859375,0.06699680001474917,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=6; permutation_mode=seeded_random; parity_disclosures_bits=1200; bisection_disclosures_bits=172; verification_bits=128; other_disclosures_bits=0; candidate_flips=56; verified_flips=56; total_blocks_checked=600",da44be679542d120
real_typeii_20db_d1024_bw120_blk0,1024,120,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,identity,0,4,1,0,3,0.25,0.21875,0.0390625,912.0,0.35625,0.06792089994996786,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=identity; parity_disclosures_bits=600; bisection_disclosures_bits=184; verification_bits=128; other_disclosures_bits=0; candidate_flips=46; verified_flips=46; total_blocks_checked=300",aeacee9a04c960ac
real_typeii_20db_d1024_bw120_blk0,1024,120,4,4,cascade_lite,ok,internal_cascade_lite,"8,16,32,64",6,seeded_random,0,4,4,0,0,1.0,0.21875,0.0,1502.0,0.58671875,0.10909009992610663,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[8, 16, 32, 64]; num_passes=6; permutation_mode=seeded_random; parity_disclosures_bits=1200; bisection_disclosures_bits=174; verification_bits=128; other_disclosures_bits=0; candidate_flips=56; verified_flips=56; total_blocks_checked=600",ab6194c1b8076873
real_typeii_20db_d1024_bw100_blk0,1024,100,16,16,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,seeded_random,1,16,16,0,0,1.0,0.232421875,0.0,3930.0,0.3837890625,0.27928279992192984,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=2408; bisection_disclosures_bits=1010; verification_bits=512; other_disclosures_bits=0; candidate_flips=238; verified_flips=238; total_blocks_checked=1204",ad1f4d64f73fcc30
real_typeii_20db_d1024_bw120_blk0,1024,120,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",4,seeded_random,1,4,4,0,0,1.0,0.21875,0.0,959.0,0.374609375,0.06909329991322011,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=4; permutation_mode=seeded_random; parity_disclosures_bits=602; bisection_disclosures_bits=229; verification_bits=128; other_disclosures_bits=0; candidate_flips=56; verified_flips=56; total_blocks_checked=301",29020ebdb18ce89f
real_typeii_20db_d1024_bw120_blk0,1024,120,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",6,identity,1,4,1,0,3,0.25,0.21875,0.0390625,912.0,0.35625,0.06341099995188415,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=6; permutation_mode=identity; parity_disclosures_bits=600; bisection_disclosures_bits=184; verification_bits=128; other_disclosures_bits=0; candidate_flips=46; verified_flips=46; total_blocks_checked=300",86320143d2d78cc2
real_typeii_20db_d1024_bw120_blk0,1024,120,4,4,cascade_lite,ok,internal_cascade_lite,"16,32,64,128",6,seeded_random,0,4,4,0,0,1.0,0.21875,0.0,981.0,0.383203125,0.06328380003105849,"internal_cascade_lite simplified multi-pass parity/bisection baseline; leakage_accounting=approximate_internal_transcript; mapping=gray; block_size_schedule=[16, 32, 64, 128]; num_passes=6; permutation_mode=seeded_random; parity_disclosures_bits=602; bisection_disclosures_bits=251; verification_bits=128; other_disclosures_bits=0; candidate_flips=56; verified_flips=56; total_blocks_checked=301",c8e68be9f13a3ff7
