dataset_id,method,frame_idx,decode_success,verify_success,raw_frame_ser,raw_frame_ber,post_frame_ser,post_frame_ber,leak_bits_frame,iterations_used,runtime_ms,passes_used,total_blocks_checked,parity_disclosures_bits,bisection_disclosures_bits,verification_bits,other_disclosures_bits,candidate_flips,verified_flips,block_size_schedule,num_passes,notes,dimension,bin_width_ps,data_mode,frame_cap,permutation_mode,seed,param_hash
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.21875,0.021875,0.0,0.0,374.0,42,15.997099922969937,4,150,300,42,32,0,14,14,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,seeded_random,1,da44be679542d120
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,False,0.28125,0.028125,0.09375,0.009375,230.0,48,19.113200018182397,4,75,150,48,32,0,12,12,"16,32,64,128",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,0,aeacee9a04c960ac
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,False,0.234375,0.0234375,0.0625,0.00625,226.0,44,13.924899976700544,4,75,150,44,32,0,11,11,"16,32,64,128",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,0,aeacee9a04c960ac
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,False,0.234375,0.0234375,0.0625,0.00625,226.0,44,12.31949997600168,4,75,150,44,32,0,11,11,"16,32,64,128",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,0,aeacee9a04c960ac
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,False,0.21875,0.021875,0.03125,0.003125,230.0,48,4.837300046347082,4,75,150,48,32,0,12,12,"16,32,64,128",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,0,aeacee9a04c960ac
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,False,0.28125,0.028125,0.09375,0.009375,230.0,48,6.284100003540516,4,75,150,48,32,0,12,12,"16,32,64,128",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,1,86320143d2d78cc2
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,False,0.234375,0.0234375,0.0625,0.00625,226.0,44,5.474400008097291,4,75,150,44,32,0,11,11,"16,32,64,128",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,1,86320143d2d78cc2
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,False,0.234375,0.0234375,0.0625,0.00625,226.0,44,21.015600068494678,4,75,150,44,32,0,11,11,"16,32,64,128",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,1,86320143d2d78cc2
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,False,0.21875,0.021875,0.03125,0.003125,230.0,48,11.123800068162382,4,75,150,48,32,0,12,12,"16,32,64,128",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,1,86320143d2d78cc2
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,False,0.28125,0.028125,0.09375,0.009375,230.0,48,8.096499950625002,4,75,150,48,32,0,12,12,"16,32,64,128",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,4,identity,0,63bd09359267310c
