candidate_id,dbar_v,max_check_degree,worst_source_entropy,degraded_vs_baseline
lam_d2_0.70_d3_0.00_d4_0.05_d5_0.25,2.4242,14,4.841433,True
lam_d2_0.70_d3_0.00_d4_0.10_d5_0.20,2.4096,14,4.757882,True
lam_d2_0.70_d3_0.00_d4_0.15_d5_0.15,2.3952,14,4.808937,True
lam_d2_0.70_d3_0.00_d4_0.20_d5_0.10,2.3810,14,4.596102,True
lam_d2_0.70_d3_0.00_d4_0.25_d5_0.05,2.3669,14,4.697918,True
lam_d2_0.70_d3_0.00_d4_0.30_d5_0.00,2.3529,14,4.786007,True
lam_d2_0.70_d3_0.05_d4_0.00_d5_0.25,2.4000,14,4.825631,True
lam_d2_0.70_d3_0.05_d4_0.05_d5_0.20,2.3857,14,4.720801,True
lam_d2_0.70_d3_0.05_d4_0.10_d5_0.15,2.3715,14,4.802513,True
lam_d2_0.70_d3_0.05_d4_0.15_d5_0.10,2.3576,14,4.779366,True
lam_d2_0.70_d3_0.05_d4_0.20_d5_0.05,2.3438,14,4.710153,True
lam_d2_0.70_d3_0.05_d4_0.25_d5_0.00,2.3301,13,4.777151,True
lam_d2_0.70_d3_0.10_d4_0.00_d5_0.20,2.3622,14,4.776880,True
lam_d2_0.70_d3_0.10_d4_0.05_d5_0.15,2.3483,14,4.795893,True
lam_d2_0.70_d3_0.10_d4_0.10_d5_0.10,2.3346,13,4.740411,True
lam_d2_0.70_d3_0.10_d4_0.15_d5_0.05,2.3211,13,4.707042,True
lam_d2_0.70_d3_0.10_d4_0.20_d5_0.00,2.3077,13,4.767930,True
lam_d2_0.70_d3_0.15_d4_0.00_d5_0.15,2.3256,13,4.669289,True
lam_d2_0.70_d3_0.15_d4_0.05_d5_0.10,2.3121,13,2.953411,True
lam_d2_0.70_d3_0.15_d4_0.10_d5_0.05,2.2989,13,4.653119,True
lam_d2_0.70_d3_0.15_d4_0.15_d5_0.00,2.2857,13,4.760768,True
lam_d2_0.70_d3_0.20_d4_0.00_d5_0.10,2.2901,13,4.593701,True
lam_d2_0.70_d3_0.20_d4_0.05_d5_0.05,2.2770,13,4.467519,True
lam_d2_0.70_d3_0.20_d4_0.10_d5_0.00,2.2642,13,4.743222,True
lam_d2_0.70_d3_0.25_d4_0.00_d5_0.05,2.2556,13,4.547815,True
lam_d2_0.70_d3_0.25_d4_0.05_d5_0.00,2.2430,13,4.727623,True
lam_d2_0.70_d3_0.30_d4_0.00_d5_0.00,2.2222,13,4.432821,True
lam_d2_0.75_d3_0.00_d4_0.00_d5_0.25,2.3529,14,4.314384,True
lam_d2_0.75_d3_0.00_d4_0.05_d5_0.20,2.3392,14,4.369853,True
lam_d2_0.75_d3_0.00_d4_0.10_d5_0.15,2.3256,13,1.355774,True
lam_d2_0.75_d3_0.00_d4_0.15_d5_0.10,2.3121,13,0.614859,True
lam_d2_0.75_d3_0.00_d4_0.20_d5_0.05,2.2989,13,3.665259,True
lam_d2_0.75_d3_0.00_d4_0.25_d5_0.00,2.2857,13,4.751806,True
lam_d2_0.75_d3_0.05_d4_0.00_d5_0.20,2.3166,13,2.062168,True
lam_d2_0.75_d3_0.05_d4_0.05_d5_0.15,2.3033,13,4.743843,True
lam_d2_0.75_d3_0.05_d4_0.10_d5_0.10,2.2901,13,4.680537,True
lam_d2_0.75_d3_0.05_d4_0.15_d5_0.05,2.2770,13,4.469336,True
lam_d2_0.75_d3_0.05_d4_0.20_d5_0.00,2.2642,13,4.749224,True
lam_d2_0.75_d3_0.10_d4_0.00_d5_0.15,2.2814,13,1.013337,True
lam_d2_0.75_d3_0.10_d4_0.05_d5_0.10,2.2684,13,0.359089,True
lam_d2_0.75_d3_0.10_d4_0.10_d5_0.05,2.2556,13,0.601607,True
lam_d2_0.75_d3_0.10_d4_0.15_d5_0.00,2.2430,13,4.701559,True
lam_d2_0.75_d3_0.15_d4_0.00_d5_0.10,2.2472,13,1.135410,True
lam_d2_0.75_d3_0.15_d4_0.05_d5_0.05,2.2346,13,0.516754,True
lam_d2_0.75_d3_0.15_d4_0.10_d5_0.00,2.2222,13,4.466129,True
lam_d2_0.75_d3_0.20_d4_0.00_d5_0.05,2.2140,13,4.255704,True
