candidate_id,lambda_edge,dbar_v,max_check_degree
lam_d2_0.70_d3_0.00_d4_0.00_d5_0.30,"{2: 0.7, 5: 0.3}",2.4390,14
lam_d2_0.70_d3_0.00_d4_0.05_d5_0.25,"{2: 0.7, 4: 0.05, 5: 0.25}",2.4242,14
lam_d2_0.70_d3_0.00_d4_0.10_d5_0.20,"{2: 0.7, 4: 0.1, 5: 0.2}",2.4096,14
lam_d2_0.70_d3_0.00_d4_0.15_d5_0.15,"{2: 0.7, 4: 0.15, 5: 0.15}",2.3952,14
lam_d2_0.70_d3_0.00_d4_0.20_d5_0.10,"{2: 0.7, 4: 0.2, 5: 0.1}",2.3810,14
lam_d2_0.70_d3_0.00_d4_0.25_d5_0.05,"{2: 0.7, 4: 0.25, 5: 0.05}",2.3669,14
lam_d2_0.70_d3_0.00_d4_0.30_d5_0.00,"{2: 0.7, 4: 0.3}",2.3529,14
lam_d2_0.70_d3_0.05_d4_0.00_d5_0.25,"{2: 0.7, 3: 0.05, 5: 0.25}",2.4000,14
lam_d2_0.70_d3_0.05_d4_0.05_d5_0.20,"{2: 0.7, 3: 0.05, 4: 0.05, 5: 0.2}",2.3857,14
lam_d2_0.70_d3_0.05_d4_0.10_d5_0.15,"{2: 0.7, 3: 0.05, 4: 0.1, 5: 0.15}",2.3715,14
lam_d2_0.70_d3_0.05_d4_0.15_d5_0.10,"{2: 0.7, 3: 0.05, 4: 0.15, 5: 0.1}",2.3576,14
lam_d2_0.70_d3_0.05_d4_0.20_d5_0.05,"{2: 0.7, 3: 0.05, 4: 0.2, 5: 0.05}",2.3438,14
lam_d2_0.70_d3_0.05_d4_0.25_d5_0.00,"{2: 0.7, 3: 0.05, 4: 0.25}",2.3301,13
lam_d2_0.70_d3_0.10_d4_0.00_d5_0.20,"{2: 0.7, 3: 0.1, 5: 0.2}",2.3622,14
lam_d2_0.70_d3_0.10_d4_0.05_d5_0.15,"{2: 0.7, 3: 0.1, 4: 0.05, 5: 0.15}",2.3483,14
lam_d2_0.70_d3_0.10_d4_0.10_d5_0.10,"{2: 0.7, 3: 0.1, 4: 0.1, 5: 0.1}",2.3346,13
lam_d2_0.70_d3_0.10_d4_0.15_d5_0.05,"{2: 0.7, 3: 0.1, 4: 0.15, 5: 0.05}",2.3211,13
lam_d2_0.70_d3_0.10_d4_0.20_d5_0.00,"{2: 0.7, 3: 0.1, 4: 0.2}",2.3077,13
lam_d2_0.70_d3_0.15_d4_0.00_d5_0.15,"{2: 0.7, 3: 0.15, 5: 0.15}",2.3256,13
lam_d2_0.70_d3_0.15_d4_0.05_d5_0.10,"{2: 0.7, 3: 0.15, 4: 0.05, 5: 0.1}",2.3121,13
lam_d2_0.70_d3_0.15_d4_0.10_d5_0.05,"{2: 0.7, 3: 0.15, 4: 0.1, 5: 0.05}",2.2989,13
lam_d2_0.70_d3_0.15_d4_0.15_d5_0.00,"{2: 0.7, 3: 0.15, 4: 0.15}",2.2857,13
lam_d2_0.70_d3_0.20_d4_0.00_d5_0.10,"{2: 0.7, 3: 0.2, 5: 0.1}",2.2901,13
lam_d2_0.70_d3_0.20_d4_0.05_d5_0.05,"{2: 0.7, 3: 0.2, 4: 0.05, 5: 0.05}",2.2770,13
lam_d2_0.70_d3_0.20_d4_0.10_d5_0.00,"{2: 0.7, 3: 0.2, 4: 0.1}",2.2642,13
lam_d2_0.70_d3_0.25_d4_0.00_d5_0.05,"{2: 0.7, 3: 0.25, 5: 0.05}",2.2556,13
lam_d2_0.70_d3_0.25_d4_0.05_d5_0.00,"{2: 0.7, 3: 0.25, 4: 0.05}",2.2430,13
lam_d2_0.70_d3_0.30_d4_0.00_d5_0.00,"{2: 0.7, 3: 0.3}",2.2222,13
lam_d2_0.75_d3_0.00_d4_0.00_d5_0.25,"{2: 0.75, 5: 0.25}",2.3529,14
lam_d2_0.75_d3_0.00_d4_0.05_d5_0.20,"{2: 0.75, 4: 0.05, 5: 0.2}",2.3392,14
lam_d2_0.75_d3_0.00_d4_0.10_d5_0.15,"{2: 0.75, 4: 0.1, 5: 0.15}",2.3256,13
lam_d2_0.75_d3_0.00_d4_0.15_d5_0.10,"{2: 0.75, 4: 0.15, 5: 0.1}",2.3121,13
lam_d2_0.75_d3_0.00_d4_0.20_d5_0.05,"{2: 0.75, 4: 0.2, 5: 0.05}",2.2989,13
lam_d2_0.75_d3_0.00_d4_0.25_d5_0.00,"{2: 0.75, 4: 0.25}",2.2857,13
lam_d2_0.75_d3_0.05_d4_0.00_d5_0.20,"{2: 0.75, 3: 0.05, 5: 0.2}",2.3166,13
lam_d2_0.75_d3_0.05_d4_0.05_d5_0.15,"{2: 0.75, 3: 0.05, 4: 0.05, 5: 0.15}",2.3033,13
lam_d2_0.75_d3_0.05_d4_0.10_d5_0.10,"{2: 0.75, 3: 0.05, 4: 0.1, 5: 0.1}",2.2901,13
lam_d2_0.75_d3_0.05_d4_0.15_d5_0.05,"{2: 0.75, 3: 0.05, 4: 0.15, 5: 0.05}",2.2770,13
lam_d2_0.75_d3_0.05_d4_0.20_d5_0.00,"{2: 0.75, 3: 0.05, 4: 0.2}",2.2642,13
lam_d2_0.75_d3_0.10_d4_0.00_d5_0.15,"{2: 0.75, 3: 0.1, 5: 0.15}",2.2814,13
lam_d2_0.75_d3_0.10_d4_0.05_d5_0.10,"{2: 0.75, 3: 0.1, 4: 0.05, 5: 0.1}",2.2684,13
lam_d2_0.75_d3_0.10_d4_0.10_d5_0.05,"{2: 0.75, 3: 0.1, 4: 0.1, 5: 0.05}",2.2556,13
lam_d2_0.75_d3_0.10_d4_0.15_d5_0.00,"{2: 0.75, 3: 0.1, 4: 0.15}",2.2430,13
lam_d2_0.75_d3_0.15_d4_0.00_d5_0.10,"{2: 0.75, 3: 0.15, 5: 0.1}",2.2472,13
lam_d2_0.75_d3_0.15_d4_0.05_d5_0.05,"{2: 0.75, 3: 0.15, 4: 0.05, 5: 0.05}",2.2346,13
lam_d2_0.75_d3_0.15_d4_0.10_d5_0.00,"{2: 0.75, 3: 0.15, 4: 0.1}",2.2222,13
lam_d2_0.75_d3_0.20_d4_0.00_d5_0.05,"{2: 0.75, 3: 0.2, 5: 0.05}",2.2140,13
lam_d2_0.75_d3_0.20_d4_0.05_d5_-0.00,"{2: 0.75, 3: 0.2, 4: 0.05}",2.2018,13
lam_d2_0.75_d3_0.25_d4_0.00_d5_0.00,"{2: 0.75, 3: 0.25}",2.1818,13
lam_d2_0.80_d3_0.00_d4_0.00_d5_0.20,"{2: 0.8, 5: 0.2}",2.2727,13
lam_d2_0.80_d3_0.00_d4_0.05_d5_0.15,"{2: 0.8, 4: 0.05, 5: 0.15}",2.2599,13
lam_d2_0.80_d3_0.00_d4_0.10_d5_0.10,"{2: 0.8, 4: 0.1, 5: 0.1}",2.2472,13
lam_d2_0.80_d3_0.00_d4_0.15_d5_0.05,"{2: 0.8, 4: 0.15, 5: 0.05}",2.2346,13
