phase,method,frame_id,stratum,role,status,reason,raw_ser,iterations,notes
retrospective_audit,nbldpc_v13_r3_code_v1,649,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.08203125,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,671,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.11328125,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,694,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.10546875,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,700,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.125,4,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,703,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.140625,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,706,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.15234375,4,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,714,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.12890625,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,715,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.12890625,4,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,721,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.11328125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,730,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.09765625,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,732,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1015625,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,746,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.13671875,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,747,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.15625,4,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,748,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.11328125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,756,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.109375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,758,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.109375,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,759,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1484375,5,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,765,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.12890625,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,772,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.140625,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,777,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.10546875,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,796,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.10546875,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,815,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1484375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,829,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.109375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,831,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1328125,4,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,836,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.10546875,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,837,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1015625,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,853,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1640625,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,870,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.0859375,4,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,871,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.14453125,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,873,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.11328125,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,885,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.08984375,4,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,895,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1015625,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,900,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.109375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,920,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.10546875,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,924,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.11328125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,959,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.109375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,965,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.140625,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,967,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.12890625,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,987,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.10546875,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,991,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1484375,4,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,996,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.10546875,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,998,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.078125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,1001,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,1007,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.0703125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,1016,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1171875,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,1020,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.11328125,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,1023,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.13671875,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,1032,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.109375,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,1034,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.16015625,4,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,1056,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.15234375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,1070,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.140625,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,1091,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1328125,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,1102,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.0859375,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,1105,d1024_bw120,retrospective_audit,syndrome_consistent,exact_correct,0.1328125,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,6,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.09375,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,7,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.08984375,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,14,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.09375,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,16,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.08984375,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,24,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.078125,1,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,31,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.0703125,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,50,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.08984375,2,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,52,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.07421875,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,56,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.07421875,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,67,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.09765625,3,hook_equivalence=ok
retrospective_audit,nbldpc_v13_r3_code_v1,68,d1024_bw180,retrospective_audit,syndrome_consistent,exact_correct,0.0703125,2,hook_equivalence=ok
