source,seed,method,graph_id,decoder_schedule,redundancy_stage,exact_l2,syndrome_ok,tag_ok,false_accept,errors_initial,errors_final,iterations,runtime_s,syndrome_leakage_bits,cumulative_leakage_bits,status
2M,350305,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S0,False,False,False,False,269,251,30,3.755689,0,1024,converged_no_syndrome
1M,350101,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S3,False,False,False,False,266,300,120,14.955323,160,1184,decode_failed
1M,350102,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S3,False,False,False,False,250,351,120,14.951575,160,1184,decode_failed
1M,350103,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S3,False,False,False,False,224,305,120,14.791014,160,1184,decode_failed
1M,350104,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S3,False,False,False,False,249,309,120,14.745156,160,1184,decode_failed
1M,350105,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S3,False,False,False,False,234,258,120,14.554234,160,1184,decode_failed
1p5M,350201,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S3,False,False,False,False,257,319,120,14.470765,160,1184,decode_failed
1p5M,350202,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S3,False,False,False,False,255,333,120,15.446618,160,1184,decode_failed
1p5M,350203,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S3,False,False,False,False,289,355,120,18.032186,160,1184,decode_failed
1p5M,350204,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S3,False,False,False,False,284,329,120,15.965052,160,1184,decode_failed
1p5M,350205,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S3,False,False,False,False,237,264,120,19.633271,160,1184,decode_failed
2M,350301,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S3,False,False,False,False,262,266,120,16.065031,160,1184,decode_failed
2M,350302,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S3,False,False,False,False,272,349,120,14.93022,160,1184,decode_failed
2M,350303,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S3,False,False,False,False,235,232,120,14.627107,160,1184,decode_failed
2M,350304,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S3,False,False,False,False,270,339,120,14.705484,160,1184,decode_failed
2M,350305,nb_ldpc_v35,v35_empirical_protograph_z32,damped_layered_a05,S3,False,False,False,False,269,314,120,14.580966,160,1184,decode_failed
1M,350101,binary_mlc_v35,binary_ldpc_10plane,msd_serial,MLC_10P,False,False,False,False,266,303,157,0.528379,1032,1096,decode_failed
1M,350102,binary_mlc_v35,binary_ldpc_10plane,msd_serial,MLC_10P,False,False,False,False,250,180,121,0.202622,1032,1096,decode_failed
1M,350103,binary_mlc_v35,binary_ldpc_10plane,msd_serial,MLC_10P,False,False,False,False,224,135,134,0.199096,1032,1096,decode_failed
1M,350104,binary_mlc_v35,binary_ldpc_10plane,msd_serial,MLC_10P,False,False,False,False,249,210,133,0.205911,1032,1096,decode_failed
1M,350105,binary_mlc_v35,binary_ldpc_10plane,msd_serial,MLC_10P,False,False,False,False,234,186,154,0.212625,1032,1096,decode_failed
1p5M,350201,binary_mlc_v35,binary_ldpc_10plane,msd_serial,MLC_10P,False,False,False,False,257,269,122,0.208407,1032,1096,decode_failed
1p5M,350202,binary_mlc_v35,binary_ldpc_10plane,msd_serial,MLC_10P,False,False,False,False,255,154,130,0.205256,1032,1096,decode_failed
1p5M,350203,binary_mlc_v35,binary_ldpc_10plane,msd_serial,MLC_10P,False,False,False,False,289,228,158,0.212427,1032,1096,decode_failed
1p5M,350204,binary_mlc_v35,binary_ldpc_10plane,msd_serial,MLC_10P,False,False,False,False,284,311,154,0.211245,1032,1096,decode_failed
1p5M,350205,binary_mlc_v35,binary_ldpc_10plane,msd_serial,MLC_10P,False,False,False,False,237,154,137,0.222282,1032,1096,decode_failed
2M,350301,binary_mlc_v35,binary_ldpc_10plane,msd_serial,MLC_10P,False,False,False,False,262,250,132,0.20371,1032,1096,decode_failed
2M,350302,binary_mlc_v35,binary_ldpc_10plane,msd_serial,MLC_10P,False,False,False,False,272,303,136,0.212546,1032,1096,decode_failed
2M,350303,binary_mlc_v35,binary_ldpc_10plane,msd_serial,MLC_10P,False,False,False,False,235,104,146,0.204433,1032,1096,decode_failed
2M,350304,binary_mlc_v35,binary_ldpc_10plane,msd_serial,MLC_10P,False,False,False,False,270,157,158,0.20897,1032,1096,decode_failed
2M,350305,binary_mlc_v35,binary_ldpc_10plane,msd_serial,MLC_10P,False,False,False,False,269,258,139,0.209179,1032,1096,decode_failed
