source_tag,frame_id,raw_ser,bitplane_mismatch,max_bitplane_mismatch,min_bitplane_mismatch,lsb_mismatch,msb_mismatch,final_entropy,stagnation_iterations,oscillation_detected
type2_1p5M_20260121_183806,546,0.26953125,"[0.0, 0.0, 0.0, 0.0078125, 0.0, 0.015625, 0.0234375, 0.046875, 0.07421875, 0.1015625]",0.1015625,0.0,0.1015625,0.0,0.13163169972435895,50,True
type2_1p5M_20260121_183806,572,0.30078125,"[0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0, 0.01171875, 0.0390625, 0.0859375, 0.15625]",0.15625,0.0,0.15625,0.0,0.2830908030985608,48,False
type2_1p5M_20260121_183806,696,0.26953125,"[0.0, 0.0, 0.00390625, 0.0, 0.0, 0.00390625, 0.015625, 0.01953125, 0.0703125, 0.15625]",0.15625,0.0,0.15625,0.0,0.02554744617763669,47,True
type2_1p5M_20260121_183806,698,0.3359375,"[0.0, 0.00390625, 0.0, 0.0078125, 0.00390625, 0.015625, 0.015625, 0.0390625, 0.10546875, 0.14453125]",0.14453125,0.0,0.14453125,0.0,0.04740300371482984,40,True
type2_1p5M_20260121_183806,708,0.2265625,"[0.0, 0.0, 0.0, 0.00390625, 0.00390625, 0.0, 0.0078125, 0.01953125, 0.0546875, 0.13671875]",0.13671875,0.0,0.13671875,0.0,0.04817734045832042,50,False
type2_1p5M_20260121_183806,728,0.25,"[0.0, 0.00390625, 0.0, 0.00390625, 0.0078125, 0.015625, 0.01171875, 0.03125, 0.0703125, 0.10546875]",0.10546875,0.0,0.10546875,0.0,0.036607553700355566,80,True
type2_1p5M_20260121_183806,961,0.296875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.015625, 0.046875, 0.0859375, 0.140625]",0.140625,0.0,0.140625,0.0,0.10560271931967825,50,False
type2_1p5M_20260121_183806,1038,0.25390625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.00390625, 0.015625, 0.0390625, 0.08203125, 0.11328125]",0.11328125,0.0,0.11328125,0.0,0.038738140692951215,64,False
type2_1p5M_20260121_183806,1077,0.2421875,"[0.0, 0.0, 0.00390625, 0.0, 0.00390625, 0.01171875, 0.01171875, 0.03515625, 0.05859375, 0.1171875]",0.1171875,0.0,0.1171875,0.0,0.040703983992661674,46,False
type2_1p5M_20260121_183806,1138,0.2265625,"[0.0, 0.00390625, 0.0, 0.00390625, 0.0078125, 0.00390625, 0.02734375, 0.04296875, 0.04296875, 0.09375]",0.09375,0.0,0.09375,0.0,0.06406108371919408,92,False
type2_1p5M_20260121_183806,1162,0.28125,"[0.0, 0.0, 0.0, 0.00390625, 0.00390625, 0.00390625, 0.01171875, 0.0546875, 0.07421875, 0.12890625]",0.12890625,0.0,0.12890625,0.0,0.060711320062830906,55,True
type2_1p5M_20260121_183806,1171,0.25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.015625, 0.04296875, 0.07421875, 0.109375]",0.109375,0.0,0.109375,0.0,0.06497372537944161,51,True
type2_1p5M_20260121_183806,1403,0.25390625,"[0.0, 0.0, 0.0, 0.0, 0.00390625, 0.00390625, 0.01953125, 0.03125, 0.0703125, 0.125]",0.125,0.0,0.125,0.0,0.06898807323357639,51,True
type2_1p5M_20260121_183806,1533,0.26171875,"[0.0, 0.0, 0.00390625, 0.0, 0.00390625, 0.0078125, 0.0, 0.03125, 0.05078125, 0.1640625]",0.1640625,0.0,0.1640625,0.0,0.06010219325259772,56,False
type2_1p5M_20260121_183806,1555,0.3203125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.02734375, 0.03515625, 0.078125, 0.171875]",0.171875,0.0,0.171875,0.0,0.016055196189653065,51,True
