call_idx,f,seed,condition,layer,rows,n,exact,syndrome_ok,iterations,status,finite,symbol_errors,unsatisfied_checks,wall_s,rss_bytes,belief_max_prob,belief_mean_true_p,belief_mean_entropy,beliefs_conditioned,current_belief_label
60,1.0,2026091314,L2_ORACLE_U1,L2,43,64,False,False,90,ok,True,6,2,0.3151903060024779,105172992,0.9999999997631182,0.7744409933766078,1.0781778382513736,True,CHECK_UPDATED_CURRENT_BELIEF
61,1.0,2026091315,L1_MARGINAL,L1,49,64,False,False,90,ok,True,47,20,0.35804054800246377,105172992,0.999991480377389,0.22484261359292576,2.327698034042946,True,CHECK_UPDATED_CURRENT_BELIEF
62,1.0,2026091315,L1_ORACLE_U2,L1,49,64,False,False,90,ok,True,12,5,0.3583316049989662,105172992,1.0,0.8247110581053092,0.700703007569534,True,CHECK_UPDATED_CURRENT_BELIEF
63,1.0,2026091315,L2_MARGINAL,L2,43,64,False,False,90,ok,True,47,43,0.3122864619981556,105172992,0.4030672218624551,0.0922150491942949,4.343407264161684,True,CHECK_UPDATED_CURRENT_BELIEF
64,1.0,2026091315,L2_ORACLE_U1,L2,43,64,False,False,90,ok,True,25,6,0.3171218579991546,105172992,0.9999999939202091,0.5962775517723461,1.2813579310964078,True,CHECK_UPDATED_CURRENT_BELIEF
65,1.2,2026091300,L1_MARGINAL,L1,59,64,False,False,90,ok,True,48,36,0.4351204510021489,105172992,0.8860961989940445,0.11777945313974458,3.7983376661657253,True,CHECK_UPDATED_CURRENT_BELIEF
66,1.2,2026091300,L1_ORACLE_U2,L1,59,64,True,True,7,ok,True,0,0,0.03408801999830757,105172992,1.0,0.9999999985171418,4.068151161813123e-08,True,CHECK_UPDATED_CURRENT_BELIEF
67,1.2,2026091300,L2_MARGINAL,L2,52,64,False,False,90,ok,True,45,43,0.38173224899946945,105172992,0.6243051456479201,0.1299826374070234,4.161386207952877,True,CHECK_UPDATED_CURRENT_BELIEF
68,1.2,2026091300,L2_ORACLE_U1,L2,52,64,True,True,22,ok,True,0,0,0.09270667900273111,105172992,1.0,0.9644263460182847,0.1195210397325146,True,CHECK_UPDATED_CURRENT_BELIEF
69,1.2,2026091301,L1_MARGINAL,L1,59,64,False,False,90,ok,True,46,32,0.43033382399880793,105172992,0.990475983239659,0.23373014312915874,3.1980519386403365,True,CHECK_UPDATED_CURRENT_BELIEF
70,1.2,2026091301,L1_ORACLE_U2,L1,59,64,True,True,5,ok,True,0,0,0.023242447998200078,105172992,1.0,0.9999982483654115,2.9519945640616596e-05,True,CHECK_UPDATED_CURRENT_BELIEF
71,1.2,2026091301,L2_MARGINAL,L2,52,64,False,False,90,ok,True,49,42,0.377279261003423,105172992,0.5921050031895367,0.09337227841460076,4.1398394571348645,True,CHECK_UPDATED_CURRENT_BELIEF
72,1.2,2026091301,L2_ORACLE_U1,L2,52,64,True,True,5,ok,True,0,0,0.021554410999669926,105172992,1.0,0.9850010811967609,0.10923294670574957,True,CHECK_UPDATED_CURRENT_BELIEF
73,1.2,2026091302,L1_MARGINAL,L1,59,64,True,True,9,ok,True,0,0,0.04368873800194706,105172992,1.0,0.9745112489965738,0.13011871769108607,True,CHECK_UPDATED_CURRENT_BELIEF
74,1.2,2026091302,L1_ORACLE_U2,L1,59,64,True,True,3,ok,True,0,0,0.014688439998280955,105172992,1.0,0.9999991865638876,1.3799512377604874e-05,True,CHECK_UPDATED_CURRENT_BELIEF
75,1.2,2026091302,L2_MARGINAL,L2,52,64,False,False,90,ok,True,39,40,0.37852551500327536,105172992,0.7010753189294636,0.1457331840842114,4.143573323166277,True,CHECK_UPDATED_CURRENT_BELIEF
76,1.2,2026091302,L2_ORACLE_U1,L2,52,64,True,True,3,ok,True,0,0,0.01283855899964692,105172992,1.0,0.9756061580600992,0.14439883397842548,True,CHECK_UPDATED_CURRENT_BELIEF
77,1.2,2026091303,L1_MARGINAL,L1,59,64,False,False,90,ok,True,47,56,0.43867251399933593,105172992,0.5308068931968472,0.10071703762350112,4.195385973385539,True,CHECK_UPDATED_CURRENT_BELIEF
78,1.2,2026091303,L1_ORACLE_U2,L1,59,64,True,True,5,ok,True,0,0,0.024666225999681046,105172992,1.0,0.999999988942254,2.7167942482917314e-07,True,CHECK_UPDATED_CURRENT_BELIEF
79,1.2,2026091303,L2_MARGINAL,L2,52,64,False,False,90,ok,True,48,51,0.3861674280014995,105172992,0.5375088333516436,0.10488983551330397,4.2878188567063935,True,CHECK_UPDATED_CURRENT_BELIEF
80,1.2,2026091303,L2_ORACLE_U1,L2,52,64,False,False,90,ok,True,3,1,0.3797558019978169,105172992,1.0,0.9403464948716208,0.29045431384911535,True,CHECK_UPDATED_CURRENT_BELIEF
81,1.2,2026091304,L1_MARGINAL,L1,59,64,True,True,7,ok,True,0,0,0.033511444002215285,105172992,1.0,0.9890378511703105,0.10331150000140249,True,CHECK_UPDATED_CURRENT_BELIEF
82,1.2,2026091304,L1_ORACLE_U2,L1,59,64,True,True,2,ok,True,0,0,0.009527373000310035,105172992,1.0,0.9946592668873917,0.03883764992374744,True,CHECK_UPDATED_CURRENT_BELIEF
83,1.2,2026091304,L2_MARGINAL,L2,52,64,False,False,90,ok,True,13,8,0.37983178600188694,105172992,1.0,0.7575376000289681,1.1434063276853652,True,CHECK_UPDATED_CURRENT_BELIEF
84,1.2,2026091304,L2_ORACLE_U1,L2,52,64,True,True,5,ok,True,0,0,0.021597623999696225,105172992,1.0,0.9902601285002443,0.036533554905189135,True,CHECK_UPDATED_CURRENT_BELIEF
85,1.2,2026091305,L1_MARGINAL,L1,59,64,False,False,90,ok,True,33,28,0.4381582839996554,105172992,0.9999999236812445,0.40226657593915394,2.618478929155331,True,CHECK_UPDATED_CURRENT_BELIEF
86,1.2,2026091305,L1_ORACLE_U2,L1,59,64,True,True,8,ok,True,0,0,0.038433630998042645,105172992,1.0,0.998560125604671,0.010855272839543312,True,CHECK_UPDATED_CURRENT_BELIEF
