call_id,source,construction_seed,construction_seed_ordinal,block_seed,matrix_id,h1_matrix_id,frame_ids,held_out_ordinal_start,held_out_ordinal_end,pairs_count,sampling_mode,max_iter,damping_alpha,errors_initial,errors_final,exact_l2,exact_u1,exact_full,syndrome_ok_l2,syndrome_ok_l1,wrong_codeword_l2,wrong_codeword_l1,target_tag,candidate_tag,tag_ok,tag_scope,reclassified,iterations_l1,iterations_l2,bp_posterior_entropy,mean_abs_diff_q_p,leak_total,status,runtime_s
C29,1p5M,383202,2,390241,lane_c_1p5M_s383202,V31-H1-QC-16×1024,"[2723, 2724, 2725, 2726]",510,513,1024,deterministic_spread_four_consecutive_frames,90,1.0,274,126,false,true,false,false,true,false,false,45a6ec4cae5fbec3,87296e4d9dada427,false,l2_only,decoder_non_syndrome_failure,2,90,1.7038238214166113e-12,0.0008019781172442658,1094,converged_no_syndrome,10.415028999999777
C30,1p5M,383202,2,390242,lane_c_1p5M_s383202,V31-H1-QC-16×1024,"[2763, 2764, 2765, 2766]",550,553,1024,deterministic_spread_four_consecutive_frames,90,1.0,246,0,true,true,true,true,true,false,false,eff94517b6da2f06,eff94517b6da2f06,true,l2_only,exact,2,5,1.65775859482164e-12,0.000985639035099056,1094,converged_exact,0.6930499999998574
C31,2M,383302,2,390328,lane_c_2M_s383302,V31-H1-QC-16×1024,"[2916, 2917, 2918, 2919]",0,3,1024,deterministic_spread_four_consecutive_frames,90,1.0,239,0,true,true,true,true,true,false,false,7fbb17df88f2697e,7fbb17df88f2697e,true,l2_only,exact,1,14,0.00020634113927068832,0.000601459509769003,1104,converged_exact,1.6558062999993126
C32,2M,383302,2,390329,lane_c_2M_s383302,V31-H1-QC-16×1024,"[2967, 2968, 2969, 2970]",51,54,1024,deterministic_spread_four_consecutive_frames,90,1.0,229,22,false,true,false,false,true,false,false,60f5e6eefc00c519,409ab41da5d641ac,false,l2_only,decoder_non_syndrome_failure,1,90,4.111688816662785e-06,0.0005363461850204786,1104,converged_no_syndrome,10.179680100000041
C33,2M,383302,2,390330,lane_c_2M_s383302,V31-H1-QC-16×1024,"[3019, 3020, 3021, 3022]",103,106,1024,deterministic_spread_four_consecutive_frames,90,1.0,265,41,false,true,false,false,true,false,false,4e311c296f355ee3,c4979266a5fad5ad,false,l2_only,decoder_non_syndrome_failure,1,90,5.1857378431453575e-05,0.0007382730343218953,1104,converged_no_syndrome,10.790439700000206
C34,2M,383302,2,390331,lane_c_2M_s383302,V31-H1-QC-16×1024,"[3071, 3072, 3073, 3074]",155,158,1024,deterministic_spread_four_consecutive_frames,90,1.0,252,0,true,true,true,true,true,false,false,b25bcd968379f878,b25bcd968379f878,true,l2_only,exact,2,8,1.538992352254046e-07,0.0008893420864313099,1104,converged_exact,0.7201962999988609
C35,2M,383302,2,390332,lane_c_2M_s383302,V31-H1-QC-16×1024,"[3123, 3124, 3125, 3126]",207,210,1024,deterministic_spread_four_consecutive_frames,90,1.0,268,0,true,true,true,true,true,false,false,f1ec082c9e77e214,f1ec082c9e77e214,true,l2_only,exact,2,17,1.6001641789321395e-12,0.0006991152763751213,1104,converged_exact,1.8105054999996355
C36,2M,383302,2,390333,lane_c_2M_s383302,V31-H1-QC-16×1024,"[3174, 3175, 3176, 3177]",258,261,1024,deterministic_spread_four_consecutive_frames,90,1.0,263,0,true,true,true,true,true,false,false,3e06751f514d3d1a,3e06751f514d3d1a,true,l2_only,exact,1,9,5.595363578610532e-05,0.0008352381280138042,1104,converged_exact,1.0539448999988963
C37,2M,383302,2,390334,lane_c_2M_s383302,V31-H1-QC-16×1024,"[3226, 3227, 3228, 3229]",310,313,1024,deterministic_spread_four_consecutive_frames,90,1.0,238,0,true,true,true,true,true,false,false,b8478224fd95497a,b8478224fd95497a,true,l2_only,exact,2,26,1.6125991596637741e-12,0.000561698165404499,1104,converged_exact,2.7403513999997813
C38,2M,383302,2,390335,lane_c_2M_s383302,V31-H1-QC-16×1024,"[3278, 3279, 3280, 3281]",362,365,1024,deterministic_spread_four_consecutive_frames,90,1.0,285,0,true,true,true,true,true,false,false,358fdd380a464075,358fdd380a464075,true,l2_only,exact,2,37,1.2990299445596312e-05,0.0007566612066662071,1104,converged_exact,3.554506600001332
C39,2M,383302,2,390336,lane_c_2M_s383302,V31-H1-QC-16×1024,"[3330, 3331, 3332, 3333]",414,417,1024,deterministic_spread_four_consecutive_frames,90,1.0,252,0,true,true,true,true,true,false,false,422a1737be09417d,422a1737be09417d,true,l2_only,exact,2,10,2.7102111524112084e-05,0.0006844119537346744,1104,converged_exact,0.8785852000000887
C40,2M,383302,2,390337,lane_c_2M_s383302,V31-H1-QC-16×1024,"[3382, 3383, 3384, 3385]",466,469,1024,deterministic_spread_four_consecutive_frames,90,1.0,253,0,true,true,true,true,true,false,false,9e89385388016c5e,9e89385388016c5e,true,l2_only,exact,1,25,2.8496957998970453e-06,0.0003778151779121591,1104,converged_exact,2.311607499999809
C41,2M,383302,2,390338,lane_c_2M_s383302,V31-H1-QC-16×1024,"[3433, 3434, 3435, 3436]",517,520,1024,deterministic_spread_four_consecutive_frames,90,1.0,251,0,true,true,true,true,true,false,false,7adfb8989ded6dc8,7adfb8989ded6dc8,true,l2_only,exact,1,9,0.0043200297924789015,0.0007628718473171278,1104,converged_exact,0.9192605000007461
C42,2M,383302,2,390339,lane_c_2M_s383302,V31-H1-QC-16×1024,"[3485, 3486, 3487, 3488]",569,572,1024,deterministic_spread_four_consecutive_frames,90,1.0,255,19,false,true,false,false,true,false,false,12276b1166364f0b,6156e9de4b0603bc,false,l2_only,decoder_non_syndrome_failure,1,90,0.0007648832235752573,0.0007512900437180827,1104,converged_no_syndrome,9.243642399998862
C43,2M,383302,2,390340,lane_c_2M_s383302,V31-H1-QC-16×1024,"[3537, 3538, 3539, 3540]",621,624,1024,deterministic_spread_four_consecutive_frames,90,1.0,256,130,false,false,false,false,false,false,false,c24aefb36065afcb,615a1adba2a8e4b8,false,l2_only,decoder_non_syndrome_failure,90,90,0.005293109521022051,0.0007418424359146325,1104,converged_no_syndrome,9.83173319999878
C44,2M,383302,2,390341,lane_c_2M_s383302,V31-H1-QC-16×1024,"[3589, 3590, 3591, 3592]",673,676,1024,deterministic_spread_four_consecutive_frames,90,1.0,266,21,false,true,false,false,true,false,false,61c8f2cabc8ed454,ebcaa08336ce31f3,false,l2_only,decoder_non_syndrome_failure,1,90,0.001686869468773503,0.0007273760427372633,1104,converged_no_syndrome,9.97312840000086
C45,2M,383302,2,390342,lane_c_2M_s383302,V31-H1-QC-16×1024,"[3641, 3642, 3643, 3644]",725,728,1024,deterministic_spread_four_consecutive_frames,90,1.0,267,0,true,true,true,true,true,false,false,3458caeceaf0ef3e,3458caeceaf0ef3e,true,l2_only,exact,1,15,0.002716062251334188,0.0007488273812789796,1104,converged_exact,1.6691824999998062
