s1,ce_l1,ce_l2,ce_joint,ce_l1_std,ce_l2_std,ce_joint_std,chain_max_abs_err,m1,m2,eligible,wall_s
0-1-2-6-8,3.907829176021651,3.254518253937134,7.162347429958785,0.007769562963923191,0.010955058157017321,0.01830165163340225,8.881784197001252e-16,61,50,True,0.15975589992012829
0-1-2-6-9,3.9076196907018357,3.254727739256949,7.162347429958785,0.007920514116004465,0.010518563432507887,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16029549995437264
0-1-2-7-8,3.9091063045057237,3.2532411254530604,7.162347429958785,0.006729478500395226,0.011903201503625822,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16075849998742342
0-1-2-7-9,3.905510279769422,3.256837150189363,7.162347429958785,0.007190162975056069,0.011155689176953318,0.01830165163340225,8.881784197001252e-16,60,51,True,0.15829829999711365
0-1-2-8-9,3.907243316429481,3.2551041135293035,7.162347429958785,0.0076431965763781,0.011523405185138754,0.01830165163340225,8.881784197001252e-16,61,50,True,0.1610755999572575
0-1-3-4-5,3.911520532150197,3.250826897808588,7.162347429958785,0.007276750245599601,0.01120855413177629,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16097279998939484
0-1-3-4-6,3.9121141317768444,3.2502332981819406,7.162347429958785,0.009300950169423325,0.009201319365423346,0.01830165163340225,8.881784197001252e-16,61,50,True,0.15828779991716146
0-1-3-4-7,3.9110557692850882,3.251291660673697,7.162347429958785,0.007997713669797521,0.010783968543436783,0.01830165163340225,8.881784197001252e-16,61,50,True,0.1581055000424385
0-1-3-4-8,3.9111211986520567,3.251226231306728,7.162347429958785,0.007359926104890255,0.01110164052792241,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16009189991746098
0-1-3-4-9,3.907157670535217,3.255189759423568,7.162347429958785,0.007645733046571028,0.011184648189747515,0.01830165163340225,8.881784197001252e-16,61,50,True,0.1612520000198856
0-1-3-5-6,3.911406957226317,3.250940472732468,7.162347429958785,0.009635225361273975,0.008819603403633148,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16009859996847808
0-1-3-5-7,3.9109758280572438,3.251371601901541,7.162347429958785,0.009433194451203131,0.009172969653549272,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16297209996264428
0-1-3-5-8,3.9103943552347933,3.251953074723991,7.162347429958785,0.008357085383773055,0.01023309266979568,0.01830165163340225,8.881784197001252e-16,61,50,True,0.15993950003758073
0-1-3-5-9,3.9065259657321496,3.255821464226635,7.162347429958785,0.007769465371773545,0.010892395992616394,0.01830165163340225,8.881784197001252e-16,61,51,True,0.1606029000831768
0-1-3-6-7,3.9092638018880415,3.253083628070743,7.162347429958785,0.008727273165947515,0.00962402301826513,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16078719997312874
0-1-3-6-8,3.9095399861782463,3.2528074437805383,7.162347429958785,0.007968977336228254,0.010337134314212347,0.01830165163340225,8.881784197001252e-16,61,50,True,0.15704469999764115
0-1-3-6-9,3.908310631580842,3.254036798377943,7.162347429958785,0.009276589800774901,0.009483650256705584,0.01830165163340225,8.881784197001252e-16,61,50,True,0.1629877999657765
0-1-3-7-8,3.9081666311347987,3.254180798823986,7.162347429958785,0.008262233814881366,0.010265779939501667,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16056710004340857
0-1-3-7-9,3.9067503165667365,3.2555971133920485,7.162347429958785,0.008257827930455089,0.010620776241776077,0.01830165163340225,8.881784197001252e-16,61,51,True,0.16223149991128594
0-1-3-8-9,3.9070996602987202,3.2552477696600643,7.162347429958785,0.008915144832093052,0.010675240422529788,0.01830165163340225,8.881784197001252e-16,61,51,True,0.16323409997858107
0-1-4-5-6,3.911437449065234,3.2509099808935504,7.162347429958785,0.007570052112621323,0.010910984496592786,0.01830165163340225,8.881784197001252e-16,61,50,True,0.1614607999799773
0-1-4-5-7,3.9109324749554446,3.25141495500334,7.162347429958785,0.0072679514868589125,0.01122905941203939,0.01830165163340225,8.881784197001252e-16,61,50,True,0.1647416000487283
0-1-4-5-8,3.9097445093976515,3.2526029205611335,7.162347429958785,0.005665053866435232,0.012867263098059792,0.01830165163340225,8.881784197001252e-16,61,50,True,0.168754699989222
0-1-4-5-9,3.9060176792504104,3.2563297507083746,7.162347429958785,0.00601315593921913,0.012497549713133669,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16476230008993298
0-1-4-6-7,3.9088154304684593,3.2535319994903253,7.162347429958785,0.007993608032333243,0.010688186933952607,0.01830165163340225,8.881784197001252e-16,61,50,True,0.1585262999869883
0-1-4-6-8,3.9091987995580304,3.253148630400754,7.162347429958785,0.007514797080271604,0.010889948037045672,0.01830165163340225,8.881784197001252e-16,61,50,True,0.1583729999838397
0-1-4-6-9,3.9074341279844225,3.254913301974362,7.162347429958785,0.007731263182814214,0.010626509995282985,0.01830165163340225,8.881784197001252e-16,61,50,True,0.1604092000052333
0-1-4-7-8,3.909329469463485,3.2530179604952996,7.162347429958785,0.006827872109166544,0.011624773011078764,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16264819994103163
0-1-4-7-9,3.9044686321742486,3.2578787977845365,7.162347429958785,0.006127701899500983,0.01255246085358434,0.01830165163340225,8.881784197001252e-16,60,51,True,0.15879090002272278
0-1-4-8-9,3.906323285683169,3.2560241442756155,7.162347429958785,0.007093653855046526,0.011763616589467698,0.01830165163340225,8.881784197001252e-16,61,51,True,0.16096969996578991
0-1-5-6-7,3.911346858197872,3.2510005717609127,7.162347429958785,0.008761958263373153,0.009820385315808243,0.01830165163340225,8.881784197001252e-16,61,50,True,0.1591910000424832
0-1-5-6-8,3.9096554757311366,3.2526919542276485,7.162347429958785,0.007863703229721599,0.011087363036833959,0.01830165163340225,8.881784197001252e-16,61,50,True,0.15817420009989291
0-1-5-6-9,3.9087125079401828,3.253634922018602,7.162347429958785,0.008327246404992737,0.010035934748188913,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16057720000389963
0-1-5-7-8,3.910180268128319,3.2521671618304655,7.162347429958785,0.008208839312046114,0.010644278740572773,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16049170005135238
0-1-5-7-9,3.9061374912205724,3.2562099387382126,7.162347429958785,0.00744366069957754,0.01100310081475066,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16037150006741285
0-1-5-8-9,3.907743774760597,3.254603655198188,7.162347429958785,0.007339402166194267,0.011409963303940248,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16248030005954206
0-1-6-7-8,3.907246413128851,3.2551010168299337,7.162347429958785,0.007117258278469654,0.011329877766081664,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16498180001508445
0-1-6-7-9,3.906190525417477,3.2561569045413075,7.162347429958785,0.008272059463530513,0.01004460234337857,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16158590000122786
0-1-6-8-9,3.9072617413863218,3.2550856885724633,7.162347429958785,0.008238026560935268,0.010658714929374234,0.01830165163340225,8.881784197001252e-16,61,50,True,0.15929920005146414
0-1-7-8-9,3.9057266246353057,3.256620805323479,7.162347429958785,0.0070375675345254445,0.011343936281262007,0.01830165163340225,8.881784197001252e-16,60,51,True,0.15892319998238236
0-2-3-4-5,3.908614742188598,3.2537326877701864,7.162347429958785,0.007596672403079252,0.010882823872132073,0.01830165163340225,8.881784197001252e-16,61,50,True,0.15732009999919683
0-2-3-4-6,3.9076985802675153,3.2546488496912693,7.162347429958785,0.008594390944538234,0.010375168453572208,0.01830165163340225,8.881784197001252e-16,61,50,True,0.15762409998569638
0-2-3-4-7,3.9079696314106998,3.2543777985480844,7.162347429958785,0.008752875210993508,0.009726913172953995,0.01830165163340225,8.881784197001252e-16,61,50,True,0.15921239997260273
0-2-3-4-8,3.9072271907496092,3.255120239209176,7.162347429958785,0.007928348757215646,0.010613664213946297,0.01830165163340225,8.881784197001252e-16,61,50,True,0.1614890000782907
0-2-3-4-9,3.905810290107643,3.256537139851142,7.162347429958785,0.008343367035334252,0.010055203182345915,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16123890003655106
0-2-3-5-6,3.9071932859704126,3.255154143988372,7.162347429958785,0.008683493361270883,0.009787620805336728,0.01830165163340225,8.881784197001252e-16,61,50,True,0.16243269992992282
0-2-3-5-7,3.9084114573294704,3.253935972629314,7.162347429958785,0.007691498869020996,0.010674775767470309,0.01830165163340225,8.881784197001252e-16,61,50,True,0.1625985000282526
0-2-3-5-8,3.9077965127880856,3.254550917170699,7.162347429958785,0.007349461260392549,0.011032768631383996,0.01830165163340225,8.881784197001252e-16,61,50,True,0.1590781999984756
0-2-3-5-9,3.9054069355301477,3.256940494428637,7.162347429958785,0.007345355947523373,0.011470592710311091,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16337580000981688
0-2-3-6-7,3.9069899913032566,3.255357438655528,7.162347429958785,0.007478577732531167,0.010958271367413376,0.01830165163340225,8.881784197001252e-16,61,51,True,0.17025150009430945
0-2-3-6-8,3.9062541028284112,3.256093327130374,7.162347429958785,0.007644340085237255,0.010846751878241568,0.01830165163340225,8.881784197001252e-16,61,51,True,0.16463060001842678
0-2-3-6-9,3.9049757033404973,3.2573717266182873,7.162347429958785,0.007649189733257682,0.010982837971137433,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16198620002251118
