partition,seed,geometry,mode,rows_l1,rows_l2,exact,syndrome_recomputed,syndrome_decoder_flag,flag_agree,iterations,nonfinite,crash,prior_mass_on_truth,wall_s,rss_bytes,watchdog_ok
4-5-7-8-9,2026090603,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.09603094440944432,0.512297899927944,122986496,True
4-5-7-8-9,2026090603,square,L1,64,64,False,False,False,True,90,False,False,0.051644549238101814,0.5909640999743715,122994688,True
4-5-7-8-9,2026090603,square,L2-APP,64,64,False,False,False,True,90,False,False,0.06077564501126001,0.5901066999649629,122994688,True
4-5-7-8-9,2026090603,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.09603094440944432,0.592759000021033,122998784,True
4-5-7-8-9,2026090604,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.04022972432833582,0.5646197999594733,122998784,True
4-5-7-8-9,2026090604,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.045666910800764085,0.5208207999821752,123011072,True
4-5-7-8-9,2026090604,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.06087334244523207,0.5282917999429628,123011072,True
4-5-7-8-9,2026090604,square,L1,64,64,False,False,False,True,90,False,False,0.04022972432833582,0.5889351000078022,123023360,True
4-5-7-8-9,2026090604,square,L2-APP,64,64,False,False,False,True,90,False,False,0.048053658441802094,0.583602900034748,123035648,True
4-5-7-8-9,2026090604,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.06087334244523207,0.5854614999843761,123043840,True
4-5-7-8-9,2026090605,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.06836474565432143,0.5614955000346527,123043840,True
4-5-7-8-9,2026090605,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.06932720710150214,0.5081971000181511,123043840,True
4-5-7-8-9,2026090605,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.13612268354707507,0.5083173000020906,123043840,True
4-5-7-8-9,2026090605,square,L1,64,64,False,False,False,True,90,False,False,0.06836474565432143,0.5891251000575721,123052032,True
4-5-7-8-9,2026090605,square,L2-APP,64,64,False,False,False,True,90,False,False,0.06768017105646452,0.615325800026767,123052032,True
4-5-7-8-9,2026090605,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.13612268354707507,0.590936699998565,123060224,True
4-5-7-8-9,2026090606,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.039534818944610306,0.5632514000171795,123060224,True
4-5-7-8-9,2026090606,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.05984638811553922,0.5158685999922454,123064320,True
4-5-7-8-9,2026090606,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.10809758806670822,0.5379504000302404,123064320,True
4-5-7-8-9,2026090606,square,L1,64,64,False,False,False,True,90,False,False,0.039534818944610306,0.5817320999922231,123076608,True
4-5-7-8-9,2026090606,square,L2-APP,64,64,False,False,False,True,90,False,False,0.05385248134473508,0.5836511999368668,123076608,True
4-5-7-8-9,2026090606,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.10809758806670822,0.6014923999318853,123084800,True
4-5-7-8-9,2026090607,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.044641433037872,0.563068600022234,123084800,True
4-5-7-8-9,2026090607,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.06998737201621227,0.507189599913545,123084800,True
4-5-7-8-9,2026090607,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.10110385898205122,0.505390299949795,123088896,True
4-5-7-8-9,2026090607,square,L1,64,64,False,False,False,True,90,False,False,0.044641433037872,0.5909586000489071,123097088,True
4-5-7-8-9,2026090607,square,L2-APP,64,64,False,False,False,True,90,False,False,0.07095094674443253,0.588382099987939,123097088,True
4-5-7-8-9,2026090607,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.10110385898205122,0.5853751000249758,123101184,True
4-6-7-8-9,2026090600,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.06695749607043039,0.5607981999637559,123625472,True
4-6-7-8-9,2026090600,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.059863585046872184,0.519172600004822,123629568,True
4-6-7-8-9,2026090600,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.13207004262270172,0.5152347000548616,123633664,True
4-6-7-8-9,2026090600,square,L1,64,64,False,False,False,True,90,False,False,0.06695749607043039,0.5882085000630468,123637760,True
4-6-7-8-9,2026090600,square,L2-APP,64,64,False,False,False,True,90,False,False,0.05995536890187065,0.5981102000223473,123641856,True
4-6-7-8-9,2026090600,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.13207004262270172,0.6186930000549182,123654144,True
4-6-7-8-9,2026090601,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.06395388526981702,0.582050499971956,123654144,True
4-6-7-8-9,2026090601,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.051271188084838194,0.5373670000117272,123662336,True
4-6-7-8-9,2026090601,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.14697270262995726,0.5392349000321701,123666432,True
4-6-7-8-9,2026090601,square,L1,64,64,False,False,False,True,90,False,False,0.06395388526981702,0.6233457999769598,123686912,True
4-6-7-8-9,2026090601,square,L2-APP,64,64,False,False,False,True,90,False,False,0.04851544761420392,0.5968650999711826,123686912,True
4-6-7-8-9,2026090601,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.14697270262995726,0.5952298999764025,123686912,True
4-6-7-8-9,2026090602,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.06310151031010972,0.5808492000214756,123691008,True
4-6-7-8-9,2026090602,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.04670591270228053,0.5404117000289261,123691008,True
4-6-7-8-9,2026090602,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.13372404643927963,0.5179931999882683,123691008,True
4-6-7-8-9,2026090602,square,L1,64,64,False,False,False,True,90,False,False,0.06310151031010972,0.6219066999619827,123695104,True
4-6-7-8-9,2026090602,square,L2-APP,64,64,False,False,False,True,90,False,False,0.04308571677752612,0.6144645999884233,123703296,True
4-6-7-8-9,2026090602,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.13372404643927963,0.607741600018926,123707392,True
4-6-7-8-9,2026090603,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.06164537728840844,0.5734169000061229,123707392,True
4-6-7-8-9,2026090603,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.06286209482613686,0.535037099965848,123711488,True
4-6-7-8-9,2026090603,nonsquare,L2-oracle,59,52,False,False,False,True,90,False,False,0.15542539008794812,0.5238337999908254,123715584,True
4-6-7-8-9,2026090603,square,L1,64,64,False,False,False,True,90,False,False,0.06164537728840844,0.5935060000047088,123731968,True
4-6-7-8-9,2026090603,square,L2-APP,64,64,False,False,False,True,90,False,False,0.07410690838105927,0.6011722000548616,123670528,True
4-6-7-8-9,2026090603,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.15542539008794812,0.5881857000058517,123674624,True
4-6-7-8-9,2026090604,nonsquare,L1,59,52,False,False,False,True,90,False,False,0.05661675698221156,0.5749718000879511,123678720,True
4-6-7-8-9,2026090604,nonsquare,L2-APP,59,52,False,False,False,True,90,False,False,0.053536133970742805,0.5295545000117272,123678720,True
