source,seed,method,graph_id,decoder_schedule,redundancy_stage,exact_l2,syndrome_ok,tag_ok,false_accept,errors_initial,errors_final,iterations,runtime_s,syndrome_leakage_bits,cumulative_leakage_bits,status
1M,350104,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,249,179,30,2.542378,0,984,converged_no_syndrome
1M,350105,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,234,165,30,2.569159,0,984,converged_no_syndrome
1p5M,350201,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,257,179,30,2.555159,0,1014,converged_no_syndrome
1p5M,350202,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,255,162,30,2.551998,0,1014,converged_no_syndrome
1p5M,350203,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,289,199,30,2.556517,0,1014,converged_no_syndrome
1p5M,350204,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,284,204,30,2.565961,0,1014,converged_no_syndrome
1p5M,350205,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,237,148,30,2.559915,0,1014,converged_no_syndrome
2M,350301,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,262,183,30,2.5531,0,1024,converged_no_syndrome
2M,350302,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,272,195,30,2.57887,0,1024,converged_no_syndrome
2M,350303,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,235,162,30,2.581572,0,1024,converged_no_syndrome
2M,350304,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,270,172,30,2.543505,0,1024,converged_no_syndrome
2M,350305,nb_ldpc_v35,v31_qc_baseline,damped_layered_a05,S0,False,False,False,False,269,191,30,2.555438,0,1024,converged_no_syndrome
1M,350101,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,266,251,30,3.743877,0,984,converged_no_syndrome
1M,350102,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,250,247,30,3.729847,0,984,converged_no_syndrome
1M,350103,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,224,208,30,3.748814,0,984,converged_no_syndrome
1M,350104,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,249,238,30,3.731597,0,984,converged_no_syndrome
1M,350105,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,234,227,30,3.762376,0,984,converged_no_syndrome
1p5M,350201,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,257,247,30,3.854023,0,1014,converged_no_syndrome
1p5M,350202,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,255,249,30,3.868004,0,1014,converged_no_syndrome
1p5M,350203,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,289,268,30,3.856189,0,1014,converged_no_syndrome
1p5M,350204,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,284,282,30,3.861148,0,1014,converged_no_syndrome
1p5M,350205,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,237,225,30,3.882642,0,1014,converged_no_syndrome
2M,350301,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,262,247,30,3.893578,0,1024,converged_no_syndrome
2M,350302,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,272,265,30,3.924146,0,1024,converged_no_syndrome
2M,350303,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,235,220,30,3.887646,0,1024,converged_no_syndrome
2M,350304,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,270,255,30,3.892036,0,1024,converged_no_syndrome
2M,350305,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,269,259,30,3.920008,0,1024,converged_no_syndrome
1M,350101,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,260,251,30,3.741881,0,984,converged_no_syndrome
1M,350101,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S1,False,False,False,False,260,251,30,3.906232,40,1024,converged_no_syndrome
1M,350101,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S2,False,False,False,False,260,251,30,4.226164,80,1064,converged_no_syndrome
1M,350101,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S3,False,False,False,False,260,251,30,4.851484,160,1144,converged_no_syndrome
1M,350102,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,246,247,30,3.729397,0,984,converged_no_syndrome
1M,350102,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S1,False,False,False,False,246,245,30,3.897884,40,1024,converged_no_syndrome
1M,350102,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S2,False,False,False,False,246,245,30,4.21906,80,1064,converged_no_syndrome
1M,350102,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S3,False,False,False,False,246,245,30,4.833188,160,1144,converged_no_syndrome
1M,350103,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,219,208,30,3.727,0,984,converged_no_syndrome
1M,350103,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S1,False,False,False,False,219,207,30,3.899408,40,1024,converged_no_syndrome
1M,350103,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S2,False,False,False,False,219,207,30,4.214082,80,1064,converged_no_syndrome
1M,350103,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S3,False,False,False,False,219,207,30,4.853736,160,1144,converged_no_syndrome
1M,350104,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,242,238,30,3.75123,0,984,converged_no_syndrome
1M,350104,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S1,False,False,False,False,242,235,30,3.882093,40,1024,converged_no_syndrome
1M,350104,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S2,False,False,False,False,242,235,30,4.209358,80,1064,converged_no_syndrome
1M,350104,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S3,False,False,False,False,242,235,30,4.813188,160,1144,converged_no_syndrome
1M,350105,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,228,227,30,3.704324,0,984,converged_no_syndrome
1M,350105,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S1,False,False,False,False,228,225,30,3.848763,40,1024,converged_no_syndrome
1M,350105,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S2,False,False,False,False,228,225,30,4.226059,80,1064,converged_no_syndrome
1M,350105,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S3,False,False,False,False,228,225,30,4.810453,160,1144,converged_no_syndrome
1p5M,350201,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,246,247,30,3.865261,0,1014,converged_no_syndrome
1p5M,350201,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S1,False,False,False,False,246,247,30,4.095333,40,1054,converged_no_syndrome
1p5M,350201,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S2,False,False,False,False,246,247,30,4.430893,80,1094,converged_no_syndrome
1p5M,350201,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S3,False,False,False,False,246,247,30,4.997862,160,1174,converged_no_syndrome
1p5M,350202,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,249,249,30,3.792935,0,1014,converged_no_syndrome
1p5M,350202,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S1,False,False,False,False,249,249,30,4.088135,40,1054,converged_no_syndrome
1p5M,350202,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S2,False,False,False,False,249,249,30,4.394749,80,1094,converged_no_syndrome
1p5M,350202,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S3,False,False,False,False,249,249,30,4.990816,160,1174,converged_no_syndrome
1p5M,350203,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,273,268,30,3.819406,0,1014,converged_no_syndrome
1p5M,350203,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S1,False,False,False,False,273,268,30,4.168309,40,1054,converged_no_syndrome
1p5M,350203,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S2,False,False,False,False,273,268,30,4.474662,80,1094,converged_no_syndrome
1p5M,350203,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S3,False,False,False,False,273,268,30,5.008869,160,1174,converged_no_syndrome
1p5M,350204,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,279,282,30,3.811762,0,1014,converged_no_syndrome
1p5M,350204,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S1,False,False,False,False,279,282,30,4.108937,40,1054,converged_no_syndrome
1p5M,350204,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S2,False,False,False,False,279,282,30,4.404716,80,1094,converged_no_syndrome
1p5M,350204,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S3,False,False,False,False,279,282,30,5.005762,160,1174,converged_no_syndrome
1p5M,350205,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,232,225,30,3.863077,0,1014,converged_no_syndrome
1p5M,350205,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S1,False,False,False,False,232,225,30,4.112852,40,1054,converged_no_syndrome
1p5M,350205,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S2,False,False,False,False,232,225,30,4.438572,80,1094,converged_no_syndrome
1p5M,350205,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S3,False,False,False,False,232,225,30,5.048307,160,1174,converged_no_syndrome
2M,350301,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,256,247,30,3.885104,0,1024,converged_no_syndrome
2M,350301,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S1,False,False,False,False,256,247,30,4.219089,40,1064,converged_no_syndrome
2M,350301,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S2,False,False,False,False,256,247,30,4.526487,80,1104,converged_no_syndrome
2M,350301,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S3,False,False,False,False,256,247,30,5.121894,160,1184,converged_no_syndrome
2M,350302,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,266,265,30,3.893241,0,1024,converged_no_syndrome
2M,350302,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S1,False,False,False,False,266,265,30,4.1826,40,1064,converged_no_syndrome
2M,350302,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S2,False,False,False,False,266,265,30,4.484363,80,1104,converged_no_syndrome
2M,350302,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S3,False,False,False,False,266,265,30,5.135628,160,1184,converged_no_syndrome
2M,350303,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,227,220,30,3.881803,0,1024,converged_no_syndrome
2M,350303,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S1,False,False,False,False,227,220,30,4.201004,40,1064,converged_no_syndrome
2M,350303,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S2,False,False,False,False,227,220,30,4.49328,80,1104,converged_no_syndrome
2M,350303,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S3,False,False,False,False,227,220,30,6.32516,160,1184,converged_no_syndrome
2M,350304,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,256,255,30,5.321521,0,1024,converged_no_syndrome
2M,350304,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S1,False,False,False,False,256,256,30,5.157915,40,1064,converged_no_syndrome
2M,350304,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S2,False,False,False,False,256,256,30,4.573997,80,1104,converged_no_syndrome
2M,350304,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S3,False,False,False,False,256,256,30,5.168622,160,1184,converged_no_syndrome
2M,350305,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S0,False,False,False,False,262,259,30,3.908535,0,1024,converged_no_syndrome
2M,350305,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S1,False,False,False,False,262,259,30,4.91364,40,1064,converged_no_syndrome
2M,350305,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S2,False,False,False,False,262,259,30,5.046058,80,1104,converged_no_syndrome
2M,350305,nb_ldpc_v35,hand_designed_mixed_degree_protograph,damped_layered_a05,S3,False,False,False,False,262,259,30,5.261905,160,1184,converged_no_syndrome
