dataset_id,frame_id,dimension,frame_len_symbols,symbols,frame_raw_ser,dataset_raw_ser,split,locked_frame_key
real_typeii_20db_d1024_bw180_blk0,427,1024,64,64,0.265625,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:427
real_typeii_20db_d1024_bw180_blk0,429,1024,64,64,0.25,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:429
real_typeii_20db_d1024_bw180_blk0,435,1024,64,64,0.203125,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:435
real_typeii_20db_d1024_bw180_blk0,439,1024,64,64,0.28125,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:439
real_typeii_20db_d1024_bw180_blk0,444,1024,64,64,0.234375,0.2395501592356688,confirmation,real_typeii_20db_d1024_bw180_blk0:444
real_typeii_20db_d1024_bw200_blk0,1,1024,64,64,0.25,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:1
real_typeii_20db_d1024_bw200_blk0,10,1024,64,64,0.15625,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:10
real_typeii_20db_d1024_bw200_blk0,15,1024,64,64,0.34375,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:15
real_typeii_20db_d1024_bw200_blk0,36,1024,64,64,0.28125,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:36
real_typeii_20db_d1024_bw200_blk0,38,1024,64,64,0.3125,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:38
real_typeii_20db_d1024_bw200_blk0,44,1024,64,64,0.140625,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:44
real_typeii_20db_d1024_bw200_blk0,48,1024,64,64,0.21875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:48
real_typeii_20db_d1024_bw200_blk0,53,1024,64,64,0.25,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:53
real_typeii_20db_d1024_bw200_blk0,58,1024,64,64,0.1875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:58
real_typeii_20db_d1024_bw200_blk0,65,1024,64,64,0.34375,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:65
real_typeii_20db_d1024_bw200_blk0,70,1024,64,64,0.21875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:70
real_typeii_20db_d1024_bw200_blk0,82,1024,64,64,0.1875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:82
real_typeii_20db_d1024_bw200_blk0,85,1024,64,64,0.234375,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:85
real_typeii_20db_d1024_bw200_blk0,87,1024,64,64,0.203125,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:87
real_typeii_20db_d1024_bw200_blk0,91,1024,64,64,0.1875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:91
real_typeii_20db_d1024_bw200_blk0,100,1024,64,64,0.21875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:100
real_typeii_20db_d1024_bw200_blk0,103,1024,64,64,0.25,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:103
real_typeii_20db_d1024_bw200_blk0,118,1024,64,64,0.3125,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:118
real_typeii_20db_d1024_bw200_blk0,124,1024,64,64,0.21875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:124
real_typeii_20db_d1024_bw200_blk0,126,1024,64,64,0.25,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:126
real_typeii_20db_d1024_bw200_blk0,128,1024,64,64,0.34375,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:128
real_typeii_20db_d1024_bw200_blk0,142,1024,64,64,0.171875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:142
real_typeii_20db_d1024_bw200_blk0,162,1024,64,64,0.234375,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:162
real_typeii_20db_d1024_bw200_blk0,164,1024,64,64,0.265625,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:164
real_typeii_20db_d1024_bw200_blk0,194,1024,64,64,0.203125,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:194
real_typeii_20db_d1024_bw200_blk0,203,1024,64,64,0.25,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:203
real_typeii_20db_d1024_bw200_blk0,205,1024,64,64,0.203125,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:205
real_typeii_20db_d1024_bw200_blk0,212,1024,64,64,0.328125,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:212
real_typeii_20db_d1024_bw200_blk0,214,1024,64,64,0.34375,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:214
real_typeii_20db_d1024_bw200_blk0,237,1024,64,64,0.21875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:237
real_typeii_20db_d1024_bw200_blk0,238,1024,64,64,0.21875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:238
real_typeii_20db_d1024_bw200_blk0,243,1024,64,64,0.265625,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:243
real_typeii_20db_d1024_bw200_blk0,252,1024,64,64,0.171875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:252
real_typeii_20db_d1024_bw200_blk0,255,1024,64,64,0.328125,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:255
real_typeii_20db_d1024_bw200_blk0,256,1024,64,64,0.21875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:256
real_typeii_20db_d1024_bw200_blk0,263,1024,64,64,0.1875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:263
real_typeii_20db_d1024_bw200_blk0,273,1024,64,64,0.203125,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:273
real_typeii_20db_d1024_bw200_blk0,278,1024,64,64,0.234375,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:278
real_typeii_20db_d1024_bw200_blk0,296,1024,64,64,0.296875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:296
real_typeii_20db_d1024_bw200_blk0,304,1024,64,64,0.28125,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:304
real_typeii_20db_d1024_bw200_blk0,317,1024,64,64,0.09375,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:317
real_typeii_20db_d1024_bw200_blk0,331,1024,64,64,0.1875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:331
real_typeii_20db_d1024_bw200_blk0,346,1024,64,64,0.234375,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:346
real_typeii_20db_d1024_bw200_blk0,361,1024,64,64,0.28125,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:361
real_typeii_20db_d1024_bw200_blk0,369,1024,64,64,0.296875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:369
real_typeii_20db_d1024_bw200_blk0,371,1024,64,64,0.171875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:371
real_typeii_20db_d1024_bw200_blk0,372,1024,64,64,0.203125,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:372
real_typeii_20db_d1024_bw200_blk0,374,1024,64,64,0.25,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:374
real_typeii_20db_d1024_bw200_blk0,381,1024,64,64,0.15625,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:381
real_typeii_20db_d1024_bw200_blk0,388,1024,64,64,0.1875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:388
real_typeii_20db_d1024_bw200_blk0,395,1024,64,64,0.25,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:395
real_typeii_20db_d1024_bw200_blk0,417,1024,64,64,0.21875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:417
real_typeii_20db_d1024_bw200_blk0,418,1024,64,64,0.234375,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:418
real_typeii_20db_d1024_bw200_blk0,422,1024,64,64,0.234375,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:422
real_typeii_20db_d1024_bw200_blk0,426,1024,64,64,0.328125,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:426
real_typeii_20db_d1024_bw200_blk0,430,1024,64,64,0.21875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:430
real_typeii_20db_d1024_bw200_blk0,434,1024,64,64,0.1875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:434
real_typeii_20db_d1024_bw200_blk0,458,1024,64,64,0.21875,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:458
real_typeii_20db_d1024_bw200_blk0,466,1024,64,64,0.3125,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:466
real_typeii_20db_d1024_bw200_blk0,467,1024,64,64,0.234375,0.24197186836518048,tuning,real_typeii_20db_d1024_bw200_blk0:467
