dataset_id,dimension,bin_width_ps,recommended_method,max_success_rate,recommendation_classification,note
polar_row_8,4,150.0,polar_historical,1.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_80,512,50.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_81,512,60.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_82,512,80.0,polar_historical,1.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_83,512,100.0,polar_historical,1.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_84,512,120.0,polar_historical,1.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_85,512,150.0,polar_historical,1.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_86,512,180.0,polar_historical,1.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_87,512,200.0,polar_historical,1.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_88,1024,20.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_89,1024,30.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_9,4,180.0,polar_historical,1.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_90,1024,40.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_91,1024,50.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_92,1024,60.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_93,1024,80.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_94,1024,100.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_95,1024,120.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_96,1024,150.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_97,1024,180.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_98,1024,200.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
polar_row_99,2048,20.0,polar_historical,0.0,historical_baseline,"Polar: historical imported baseline, not same-run rerun"
qldpc_synth_q16_ser0p01_flen128,16,,qldpc_reference,1.0,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q16_ser0p01_flen64,16,,qldpc_reference,1.0,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q16_ser0p03_flen128,16,,qldpc_reference,1.0,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q16_ser0p03_flen64,16,,qldpc_reference,0.75,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q16_ser0p05_flen128,16,,qldpc_reference,0.5,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q16_ser0p05_flen64,16,,qldpc_reference,0.5,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q16_ser0p08_flen128,16,,qldpc_reference,0.5,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q16_ser0p08_flen64,16,,qldpc_reference,0.5,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q32_ser0p01_flen128,32,,qldpc_reference,1.0,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q32_ser0p01_flen64,32,,qldpc_reference,1.0,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q32_ser0p03_flen128,32,,qldpc_reference,1.0,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q32_ser0p03_flen64,32,,qldpc_reference,0.75,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q32_ser0p05_flen128,32,,qldpc_reference,0.75,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q32_ser0p05_flen64,32,,qldpc_reference,0.5,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q32_ser0p08_flen128,32,,qldpc_reference,0.5,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q32_ser0p08_flen64,32,,qldpc_reference,0.5,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q4_ser0p01_flen128,4,,qldpc_reference,1.0,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q4_ser0p01_flen64,4,,qldpc_reference,1.0,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q4_ser0p03_flen128,4,,qldpc_reference,0.75,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q4_ser0p03_flen64,4,,qldpc_reference,0.75,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q4_ser0p05_flen128,4,,qldpc_reference,0.75,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q4_ser0p05_flen64,4,,qldpc_reference,0.5,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q4_ser0p08_flen128,4,,qldpc_reference,0.5,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q4_ser0p08_flen64,4,,qldpc_reference,0.5,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q8_ser0p01_flen128,8,,qldpc_reference,1.0,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q8_ser0p01_flen64,8,,qldpc_reference,1.0,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q8_ser0p03_flen128,8,,qldpc_reference,1.0,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q8_ser0p03_flen64,8,,qldpc_reference,0.75,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q8_ser0p05_flen128,8,,qldpc_reference,0.75,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q8_ser0p05_flen64,8,,qldpc_reference,0.5,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q8_ser0p08_flen128,8,,qldpc_reference,0.5,reference_only,qLDPC reference: not industrial-grade; feasibility only
qldpc_synth_q8_ser0p08_flen64,8,,qldpc_reference,0.5,reference_only,qLDPC reference: not industrial-grade; feasibility only
real_typeii_20db_d1024_bw100_blk0,1024,100.0,cascade_lite,1.0,preferred_non_polar,Cascade: preferred non-Polar candidate for group meeting
real_typeii_20db_d1024_bw180_blk0,1024,180.0,cascade_lite,1.0,preferred_non_polar,Cascade: preferred non-Polar candidate for group meeting
real_typeii_20db_d1024_bw200_blk0,1024,200.0,cascade_lite,1.0,preferred_non_polar,Cascade: preferred non-Polar candidate for group meeting
real_typeii_20db_d16_bw100_blk0,16,100.0,cascade_lite,1.0,preferred_non_polar,Cascade: preferred non-Polar candidate for group meeting
real_typeii_20db_d16_bw180_blk0,16,180.0,cascade_lite,1.0,preferred_non_polar,Cascade: preferred non-Polar candidate for group meeting
real_typeii_20db_d16_bw60_blk0,16,60.0,cascade_lite,1.0,preferred_non_polar,Cascade: preferred non-Polar candidate for group meeting
real_typeii_20db_d32_bw100_blk0,32,100.0,cascade_lite,1.0,preferred_non_polar,Cascade: preferred non-Polar candidate for group meeting
real_typeii_20db_d32_bw180_blk0,32,180.0,cascade_lite,1.0,preferred_non_polar,Cascade: preferred non-Polar candidate for group meeting
real_typeii_20db_d32_bw40_blk0,32,40.0,cascade_lite,1.0,preferred_non_polar,Cascade: preferred non-Polar candidate for group meeting
real_typeii_20db_d32_bw60_blk0,32,60.0,cascade_lite,1.0,preferred_non_polar,Cascade: preferred non-Polar candidate for group meeting
real_typeii_20db_d8_bw120_blk0,8,120.0,cascade_lite,1.0,preferred_non_polar,Cascade: preferred non-Polar candidate for group meeting
real_typeii_20db_d8_bw180_blk0,8,180.0,cascade_lite,1.0,preferred_non_polar,Cascade: preferred non-Polar candidate for group meeting
real_typeii_20db_d8_bw200_blk0,8,200.0,cascade_lite,1.0,preferred_non_polar,Cascade: preferred non-Polar candidate for group meeting
real_typeii_20db_d8_bw50_blk0,8,50.0,cascade_lite,1.0,preferred_non_polar,Cascade: preferred non-Polar candidate for group meeting
