dataset_id,dimension,bin_width_ps,method,frame_len_symbols,param_hash,runtime_s,n_frames_attempted
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,1b68567774e87e2e,1.1750829999800771,4
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,b07a3943cf9048dc,1.1729090999870095,4
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,221e5a91339f6e44,1.1779549000202678,4
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,f3f67ce02bdd88ce,1.1816534000099637,4
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,f3f67ce02bdd88ce,1.1916325000056531,4
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,c0088d2836df2d57,1.1962887999834493,4
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,dc1d252b3b27a80e,1.2068081000179518,4
real_typeii_20db_d1024_bw100_blk0,1024,100.0,layered_ldpc_lite,64,b07a3943cf9048dc,1.2226063999987673,4
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,1b68567774e87e2e,1.2750079999968875,4
real_typeii_20db_d16_bw100_blk0,16,100.0,layered_ldpc_lite,64,dc1d252b3b27a80e,0.3748196999949869,4
real_typeii_20db_d16_bw100_blk0,16,100.0,layered_ldpc_lite,64,1b68567774e87e2e,0.3982541000004858,4
real_typeii_20db_d16_bw100_blk0,16,100.0,layered_ldpc_lite,64,ec874e3fd7633e78,0.3572892000083811,4
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,e8db1e33326bc16a,0.9336363000038546,4
real_typeii_20db_d16_bw100_blk0,16,100.0,layered_ldpc_lite,64,f3f67ce02bdd88ce,0.3710357999952975,4
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,1b68567774e87e2e,0.9094065999961458,4
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,9670a15685aa444a,1.0001267999759875,4
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,dc1d252b3b27a80e,0.9538164999976289,4
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,c0088d2836df2d57,0.9903618000098504,4
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,e8db1e33326bc16a,0.9185320000106004,4
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,9670a15685aa444a,0.9360283000278288,4
real_typeii_20db_d1024_bw180_blk0,1024,180.0,layered_ldpc_lite,64,e70c48e72e0f514c,0.999605999997584,4
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,b07a3943cf9048dc,0.9501700999971944,4
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,c0088d2836df2d57,0.9341649000125472,4
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,221e5a91339f6e44,0.9567826999991668,4
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,ec874e3fd7633e78,0.9916995999810752,4
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,e70c48e72e0f514c,0.9709850999934132,4
real_typeii_20db_d1024_bw200_blk0,1024,200.0,layered_ldpc_lite,64,f3f67ce02bdd88ce,1.0414515000011306,4
real_typeii_20db_d16_bw100_blk0,16,100.0,layered_ldpc_lite,64,b07a3943cf9048dc,0.4190992999938316,4
real_typeii_20db_d16_bw100_blk0,16,100.0,layered_ldpc_lite,64,e8db1e33326bc16a,0.4289264999970328,4
real_typeii_20db_d16_bw100_blk0,16,100.0,layered_ldpc_lite,64,9670a15685aa444a,0.4505788999958895,4
real_typeii_20db_d16_bw100_blk0,16,100.0,layered_ldpc_lite,64,221e5a91339f6e44,0.4778188999916892,4
real_typeii_20db_d16_bw100_blk0,16,100.0,layered_ldpc_lite,64,e70c48e72e0f514c,0.4358933999901637,4
real_typeii_20db_d16_bw100_blk0,16,100.0,layered_ldpc_lite,64,c0088d2836df2d57,0.4493429000140168,4
real_typeii_20db_d16_bw180_blk0,16,180.0,layered_ldpc_lite,64,9670a15685aa444a,0.4044764999998733,4
real_typeii_20db_d16_bw180_blk0,16,180.0,layered_ldpc_lite,64,c0088d2836df2d57,0.3711228000174742,4
real_typeii_20db_d16_bw180_blk0,16,180.0,layered_ldpc_lite,64,f3f67ce02bdd88ce,0.4431622999836691,4
real_typeii_20db_d16_bw180_blk0,16,180.0,layered_ldpc_lite,64,b07a3943cf9048dc,0.4465559000091161,4
real_typeii_20db_d16_bw180_blk0,16,180.0,layered_ldpc_lite,64,e8db1e33326bc16a,0.4215496000251733,4
real_typeii_20db_d16_bw180_blk0,16,180.0,layered_ldpc_lite,64,1b68567774e87e2e,0.4743393999815453,4
real_typeii_20db_d16_bw180_blk0,16,180.0,layered_ldpc_lite,64,ec874e3fd7633e78,0.4625656999996863,4
real_typeii_20db_d16_bw180_blk0,16,180.0,layered_ldpc_lite,64,221e5a91339f6e44,0.4680378999910317,4
real_typeii_20db_d16_bw180_blk0,16,180.0,layered_ldpc_lite,64,dc1d252b3b27a80e,0.5155869000009261,4
real_typeii_20db_d16_bw180_blk0,16,180.0,layered_ldpc_lite,64,e70c48e72e0f514c,0.4509338999923784,4
real_typeii_20db_d16_bw60_blk0,16,60.0,layered_ldpc_lite,64,dc1d252b3b27a80e,0.484510299982503,4
real_typeii_20db_d16_bw60_blk0,16,60.0,layered_ldpc_lite,64,ec874e3fd7633e78,0.4734844999911729,4
real_typeii_20db_d16_bw60_blk0,16,60.0,layered_ldpc_lite,64,1b68567774e87e2e,0.4944802999962121,4
real_typeii_20db_d16_bw60_blk0,16,60.0,layered_ldpc_lite,64,e8db1e33326bc16a,0.4544688999885693,4
