dataset_id,dimension,bin_width_ps,method,frame_len_symbols,param_hash,leak_EC_per_input_bit,beta_eff_empirical,raw_ser,post_ir_ser
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc_lite,64,221e5a91339f6e44,0.8625,0.0,0.2421875,0.0
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc_lite,64,e8db1e33326bc16a,0.95625,0.0,0.2421875,0.0
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc_lite,64,ec874e3fd7633e78,0.721875,0.0,0.2265625,0.16796875
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc_lite,64,b07a3943cf9048dc,0.8625,0.0,0.2265625,0.05859375
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc_lite,64,221e5a91339f6e44,0.8625,0.0,0.2265625,0.05859375
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc_lite,64,f3f67ce02bdd88ce,0.721875,0.0,0.2265625,0.16796875
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc_lite,64,c0088d2836df2d57,1.05,0.0,0.2421875,0.0
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc_lite,64,b07a3943cf9048dc,0.8625,0.0,0.2421875,0.05859375
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc_lite,64,ec874e3fd7633e78,0.796875,0.0,0.19921875,0.109375
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc_lite,64,e8db1e33326bc16a,0.95625,0.0,0.2265625,0.0
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc_lite,64,f3f67ce02bdd88ce,0.796875,0.0,0.19921875,0.14453125
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc_lite,64,9670a15685aa444a,0.95625,0.0,0.2265625,0.0
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc_lite,64,c0088d2836df2d57,1.05,0.0,0.2265625,0.0
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc_lite,64,e8db1e33326bc16a,0.95625,0.0,0.25,0.0
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc_lite,64,9670a15685aa444a,0.95625,0.0,0.25,0.0
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc_lite,64,e70c48e72e0f514c,1.05,0.0,0.2265625,0.0
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc_lite,64,b07a3943cf9048dc,0.8625,0.0,0.25,0.13671875
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc_lite,64,c0088d2836df2d57,1.05,0.0,0.25,0.0
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc_lite,64,221e5a91339f6e44,0.8625,0.0,0.25,0.13671875
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc_lite,64,ec874e3fd7633e78,0.721875,0.0,0.25,0.1953125
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc_lite,64,e70c48e72e0f514c,1.05,0.0,0.25,0.0
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc_lite,64,f3f67ce02bdd88ce,0.721875,0.0,0.25,0.1953125
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc_lite,64,b07a3943cf9048dc,0.9375,0.0,0.19921875,0.09765625
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc_lite,64,e8db1e33326bc16a,1.03125,0.0,0.19921875,0.0
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc_lite,64,9670a15685aa444a,1.03125,0.0,0.19921875,0.0
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc_lite,64,221e5a91339f6e44,0.9375,0.0,0.19921875,0.09765625
