dataset_id,dimension,bin_width_ps,method,frame_len_symbols,param_hash,accepted_frame_fraction,n_frames_failed_decode,n_frames_failed_verify,n_frames_attempted
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc,128,1b68567774e87e2e,0.0,2,0,2
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc,128,ec874e3fd7633e78,0.5,1,0,2
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc,128,dc1d252b3b27a80e,0.0,2,0,2
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc,128,f3f67ce02bdd88ce,0.5,1,0,2
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc,128,1b68567774e87e2e,0.0,2,0,2
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc,128,dc1d252b3b27a80e,0.0,2,0,2
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc,128,ec874e3fd7633e78,0.0,2,0,2
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc,128,f3f67ce02bdd88ce,0.0,2,0,2
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc,128,221e5a91339f6e44,0.5,1,0,2
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc,128,b07a3943cf9048dc,0.5,1,0,2
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc,128,dc1d252b3b27a80e,0.0,2,0,2
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc,128,ec874e3fd7633e78,0.0,2,0,2
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc,128,1b68567774e87e2e,0.0,2,0,2
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc,128,b07a3943cf9048dc,0.5,1,0,2
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc,128,f3f67ce02bdd88ce,0.0,2,0,2
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc,128,221e5a91339f6e44,0.5,1,0,2
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc,128,dc1d252b3b27a80e,0.0,2,0,2
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc,128,1b68567774e87e2e,0.0,2,0,2
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc,128,ec874e3fd7633e78,0.0,2,0,2
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc,128,b07a3943cf9048dc,0.5,1,0,2
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc,128,f3f67ce02bdd88ce,0.0,2,0,2
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc,128,221e5a91339f6e44,0.5,1,0,2
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc,128,dc1d252b3b27a80e,0.0,2,0,2
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc,128,ec874e3fd7633e78,0.0,2,0,2
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc,128,1b68567774e87e2e,0.0,2,0,2
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc,128,f3f67ce02bdd88ce,0.0,2,0,2
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc,128,b07a3943cf9048dc,0.0,2,0,2
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc,128,9670a15685aa444a,0.5,1,0,2
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc,128,221e5a91339f6e44,0.0,2,0,2
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc,128,e8db1e33326bc16a,0.5,1,0,2
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc,128,dc1d252b3b27a80e,0.0,2,0,2
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc,128,1b68567774e87e2e,0.0,2,0,2
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc,128,dc1d252b3b27a80e,0.0,2,0,2
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc,128,ec874e3fd7633e78,0.0,2,0,2
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc,128,f3f67ce02bdd88ce,0.0,2,0,2
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc,128,ec874e3fd7633e78,0.5,1,0,2
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc,128,b07a3943cf9048dc,0.0,2,0,2
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc,128,1b68567774e87e2e,0.0,2,0,2
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc,128,f3f67ce02bdd88ce,0.5,1,0,2
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc,128,e8db1e33326bc16a,0.5,1,0,2
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc,128,9670a15685aa444a,0.5,1,0,2
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc,128,221e5a91339f6e44,0.0,2,0,2
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc,128,dc1d252b3b27a80e,0.0,2,0,2
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc,128,1b68567774e87e2e,0.0,2,0,2
real_typeii_20db_d8_bw200_blk0,8,200,layered_ldpc,128,1b68567774e87e2e,0.0,2,0,2
real_typeii_20db_d8_bw200_blk0,8,200,layered_ldpc,128,f3f67ce02bdd88ce,0.5,1,0,2
real_typeii_20db_d8_bw200_blk0,8,200,layered_ldpc,128,ec874e3fd7633e78,0.5,1,0,2
real_typeii_20db_d8_bw200_blk0,8,200,layered_ldpc,128,dc1d252b3b27a80e,0.0,2,0,2
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc,128,1b68567774e87e2e,0.0,2,0,2
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc,128,dc1d252b3b27a80e,0.0,2,0,2
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc,128,f3f67ce02bdd88ce,0.0,2,0,2
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc,128,ec874e3fd7633e78,0.0,2,0,2
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc,128,221e5a91339f6e44,0.5,1,0,2
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc,128,b07a3943cf9048dc,0.5,1,0,2
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,256,7bb66119b31ce8cd,0.75,0,1,4
real_typeii_20db_d1024_bw180_blk0,1024,180,cascade_lite,256,7bb66119b31ce8cd,0.25,0,3,4
real_typeii_20db_d16_bw180_blk0,16,180,cascade_lite,256,e41b94e22127bc2a,0.0,0,1,1
real_typeii_20db_d16_bw60_blk0,16,60,cascade_lite,256,7bb66119b31ce8cd,0.0,0,1,1
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc,256,1b68567774e87e2e,0.0,4,0,4
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc,256,dc1d252b3b27a80e,0.0,4,0,4
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc,256,f3f67ce02bdd88ce,0.0,4,0,4
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc,256,dc1d252b3b27a80e,0.0,4,0,4
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc,256,221e5a91339f6e44,0.0,4,0,4
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc,256,f3f67ce02bdd88ce,0.0,4,0,4
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc,256,ec874e3fd7633e78,0.0,4,0,4
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc,256,1b68567774e87e2e,0.0,4,0,4
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc,256,221e5a91339f6e44,0.25,3,0,4
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc,256,b07a3943cf9048dc,0.0,4,0,4
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc,256,b07a3943cf9048dc,0.25,3,0,4
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc,256,ec874e3fd7633e78,0.0,4,0,4
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc,256,dc1d252b3b27a80e,0.0,1,0,1
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc,256,1b68567774e87e2e,0.0,1,0,1
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc,256,ec874e3fd7633e78,0.0,1,0,1
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc,256,f3f67ce02bdd88ce,0.0,1,0,1
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc,256,b07a3943cf9048dc,0.0,1,0,1
real_typeii_20db_d16_bw100_blk0,16,100,layered_ldpc,256,221e5a91339f6e44,0.0,1,0,1
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc,256,dc1d252b3b27a80e,0.0,1,0,1
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc,256,1b68567774e87e2e,0.0,1,0,1
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc,256,ec874e3fd7633e78,0.0,1,0,1
real_typeii_20db_d16_bw180_blk0,16,180,layered_ldpc,256,f3f67ce02bdd88ce,0.0,1,0,1
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc,256,dc1d252b3b27a80e,0.0,4,0,4
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc,256,1b68567774e87e2e,0.0,4,0,4
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc,256,b07a3943cf9048dc,0.0,4,0,4
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc,256,ec874e3fd7633e78,0.0,4,0,4
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc,256,f3f67ce02bdd88ce,0.0,4,0,4
real_typeii_20db_d1024_bw200_blk0,1024,200,layered_ldpc,256,221e5a91339f6e44,0.25,3,0,4
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc,256,dc1d252b3b27a80e,0.0,1,0,1
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc,256,ec874e3fd7633e78,0.0,1,0,1
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc,256,1b68567774e87e2e,0.0,1,0,1
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc,256,f3f67ce02bdd88ce,0.0,1,0,1
real_typeii_20db_d16_bw60_blk0,16,60,layered_ldpc,256,b07a3943cf9048dc,0.0,1,0,1
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc,256,dc1d252b3b27a80e,0.0,1,0,1
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc,256,1b68567774e87e2e,0.0,1,0,1
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc,256,f3f67ce02bdd88ce,0.0,1,0,1
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc,256,b07a3943cf9048dc,0.0,1,0,1
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc,256,ec874e3fd7633e78,0.0,1,0,1
real_typeii_20db_d32_bw100_blk0,32,100,layered_ldpc,256,221e5a91339f6e44,0.0,1,0,1
real_typeii_20db_d32_bw180_blk0,32,180,layered_ldpc,256,1b68567774e87e2e,0.0,1,0,1
