dataset_id,dimension,bin_width_ps,method,frame_len_symbols,param_hash,leak_EC_actual_bits,leak_EC_per_input_bit,leakage_accounting
real_typeii_20db_d8_bw200_blk0,8,200,cascade_lite,64,7ee822c7f60512c0,990.0,1.2890625,raw_EC_bits
real_typeii_20db_d8_bw50_blk0,8,50,cascade_lite,64,1cdb1b55b06d0718,979.0,1.2747395833333333,raw_EC_bits
real_typeii_20db_d8_bw200_blk0,8,200,cascade_lite,64,d8c9e97fcf2fa52f,1030.0,1.3411458333333333,raw_EC_bits
real_typeii_20db_d8_bw50_blk0,8,50,cascade_lite,64,e41b94e22127bc2a,896.0,1.1666666666666667,raw_EC_bits
real_typeii_20db_d8_bw50_blk0,8,50,cascade_lite,64,7bb66119b31ce8cd,875.0,1.1393229166666667,raw_EC_bits
real_typeii_20db_d8_bw50_blk0,8,50,cascade_lite,64,7ee822c7f60512c0,1067.0,1.3893229166666667,raw_EC_bits
real_typeii_20db_d8_bw50_blk0,8,50,cascade_lite,64,3ddb0e813f8c9fa7,969.0,1.26171875,raw_EC_bits
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc_lite,64,9670a15685aa444a,2448.0,0.95625,raw_EC_bits
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc_lite,64,e70c48e72e0f514c,2688.0,1.05,raw_EC_bits
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc_lite,64,221e5a91339f6e44,2208.0,0.8625,raw_EC_bits
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc_lite,64,e8db1e33326bc16a,2448.0,0.95625,raw_EC_bits
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc_lite,64,ec874e3fd7633e78,1848.0,0.721875,raw_EC_bits
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc_lite,64,ec874e3fd7633e78,1848.0,0.721875,raw_EC_bits
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc_lite,64,dc1d252b3b27a80e,1408.0,0.55,raw_EC_bits
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc_lite,64,1b68567774e87e2e,1408.0,0.55,raw_EC_bits
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc_lite,64,b07a3943cf9048dc,2208.0,0.8625,raw_EC_bits
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc_lite,64,221e5a91339f6e44,2208.0,0.8625,raw_EC_bits
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc_lite,64,f3f67ce02bdd88ce,1848.0,0.721875,raw_EC_bits
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc_lite,64,f3f67ce02bdd88ce,1848.0,0.721875,raw_EC_bits
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc_lite,64,c0088d2836df2d57,2688.0,1.05,raw_EC_bits
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc_lite,64,dc1d252b3b27a80e,1408.0,0.55,raw_EC_bits
real_typeii_20db_d1024_bw100_blk0,1024,100,layered_ldpc_lite,64,b07a3943cf9048dc,2208.0,0.8625,raw_EC_bits
real_typeii_20db_d1024_bw180_blk0,1024,180,layered_ldpc_lite,64,1b68567774e87e2e,1408.0,0.55,raw_EC_bits
