n,plane_id,candidate_id,stratum_id,frame_id,attempted,status,terminal_prefix_id,rounds_attempted,syndrome_bits_disclosed,exact_match,policy_id,p_hat,backend_identity,runtime_s,role,source_sha256
256,0,1,p001,dev_n256_plane00_p001_f10,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002202000468969345,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,1,p001,dev_n256_plane00_p001_f11,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002204999327659607,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,1,p001,dev_n256_plane00_p001_f12,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.0002536000683903694,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,1,p001,dev_n256_plane00_p001_f13,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.00021239998750388622,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,1,p001,dev_n256_plane00_p001_f14,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.00022479996550828218,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,1,p001,dev_n256_plane00_p001_f15,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.009521484375,ldpc==2.4.1,0.00022709998302161694,sacrificed_development_only,ff0fef5ebef055931a2f13d29e5c15f85ae096ed3553948aad37e4669451c46e
256,0,1,p002,dev_n256_plane00_p002_f00,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.0003369000041857362,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,1,p002,dev_n256_plane00_p002_f01,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.0002722999779507518,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,1,p002,dev_n256_plane00_p002_f02,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.00025649997405707836,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,1,p002,dev_n256_plane00_p002_f03,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.000251700053922832,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,1,p002,dev_n256_plane00_p002_f04,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.0002511999337002635,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,1,p002,dev_n256_plane00_p002_f05,true,development_exact_success,p0625,2,160,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.0006798000540584326,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,1,p002,dev_n256_plane00_p002_f06,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.0002476999070495367,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,1,p002,dev_n256_plane00_p002_f07,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.0002429999876767397,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,1,p002,dev_n256_plane00_p002_f08,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.00024860003031790257,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,1,p002,dev_n256_plane00_p002_f09,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.00024089997168630362,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,1,p002,dev_n256_plane00_p002_f10,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.00023530004546046257,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,1,p002,dev_n256_plane00_p002_f11,true,development_exact_success,p0625,2,160,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.0005152999656274915,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,1,p002,dev_n256_plane00_p002_f12,true,development_exact_success,p050,1,128,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.00023859995417296886,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
256,0,1,p002,dev_n256_plane00_p002_f13,true,development_exact_success,p075,3,192,true,1a9f0674ab29596293e0cc9bd5f3e9273741382679b8a955d3435d17f5a18cb1,0.018798828125,ldpc==2.4.1,0.0012887000339105725,sacrificed_development_only,ef6efefc05a58c1dce609594e41185b0f283c83f02c0ba0376096eea1c965585
