attempted,cascade_lookback_bits,cascade_parity_bits,cascade_primary_bisection_bits,dataset_id,denominator_included,dimension,epsilon_ec,failure_reason,frame_id,frame_len_symbols,key_dependent_disclosure_bits_total,method,n_pairs,pair_idx_sequence_sha256,plan_frame_key,public_control_bits_total,qualification_role,raw_ser,runtime_s,status,transcript_bytes_len,transcript_bytes_sha256,transcript_first_event_id,transcript_last_event_id,transcript_sha256,verification_invoked,verification_seed_id,verification_tag_bits,verification_tag_bits_component
True,4,75,61,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,360,64,204,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:360,1087,confirmation,0.25,0.015999999945051968,verified_success,52739,f32d4345060fb5e5ee081f732508828d6f995c6ef696a7a285272b2c6513ddaa,1,162,f32d4345060fb5e5ee081f732508828d6f995c6ef696a7a285272b2c6513ddaa,True,cf25e474805c74d698669613cfeb9f8f3ee2082cf8b8027ac6c2fa85c14b45a5,64,64
True,0,75,56,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,5,64,195,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:5,1087,confirmation,0.21875,0.0,verified_success,48461,8bf102a874f9ee13bd368d3b79ab2c37f13acc458ffed9aaee2c5a9cd742f8c2,1,150,8bf102a874f9ee13bd368d3b79ab2c37f13acc458ffed9aaee2c5a9cd742f8c2,True,7ce6fa226956a3b08c0cf68dc5448178ea014e9567d3c873c2424d038833024c,64,64
True,0,75,56,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,230,64,195,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:230,1087,confirmation,0.21875,0.0,verified_success,48762,fcbe005ca47c2c9f657b0bd32fb26b1aed1927f2029582b3f4cb4a239f87f0e3,1,150,fcbe005ca47c2c9f657b0bd32fb26b1aed1927f2029582b3f4cb4a239f87f0e3,True,409d5a8de0d8d96a8a62dd75f62fc3b24b6e3bb2aa8f62cd6b6898525777487a,64,64
True,12,75,59,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,59,64,210,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:59,1087,confirmation,0.265625,0.015000000013969839,verified_success,55584,4cecc7d0116575dd11da824434c01fee93e14670fa03675337c160c3dd2a64d4,1,171,4cecc7d0116575dd11da824434c01fee93e14670fa03675337c160c3dd2a64d4,True,30ddb2eec2ddfd54fb1cb309b170b6e820e8560873d5af2f650fd63510e2b0c8,64,64
True,4,75,57,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,84,64,200,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:84,1087,confirmation,0.234375,0.0,verified_success,50939,ad6fb9c349ab4a2c886d984587acbf169762af1d49fdd57dc64ee2467268d958,1,157,ad6fb9c349ab4a2c886d984587acbf169762af1d49fdd57dc64ee2467268d958,True,675993e661437c5c3b956f963733990702ea12ae7114ad3b13863986c36571d9,64,64
True,4,75,57,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,350,64,200,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:350,1087,confirmation,0.234375,0.0,verified_success,51091,5f220decf2fa7b0d096b7b39a499a990436e5eece90489b0d9e0a43e13fff177,1,157,5f220decf2fa7b0d096b7b39a499a990436e5eece90489b0d9e0a43e13fff177,True,c45df27681e19cc7693133cbdcb87fce70110e164dbf45669314cae928ec7fe9,64,64
True,4,75,57,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,463,64,200,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:463,1087,confirmation,0.234375,0.015999999945051968,verified_success,51085,2316e6292c7a7488ca617ddf7e05d4c39a98e5b0cf9dbd2e6edb37c9c02114ed,1,157,2316e6292c7a7488ca617ddf7e05d4c39a98e5b0cf9dbd2e6edb37c9c02114ed,True,55b5cb4abb021c66385d898150e9efced852d6bdadff1cad069448f5bffe86f3,64,64
True,4,75,49,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,447,64,192,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:447,1087,confirmation,0.203125,0.0,verified_success,47769,c73858801819f025848a2edd44ea92f69295c0f028594197705e2d2e86447a2c,1,147,c73858801819f025848a2edd44ea92f69295c0f028594197705e2d2e86447a2c,True,55c6a7f4e1cc5df139cb8e638b504ce5d09a7c5b1af9ce9beb8b89a4fb63db27,64,64
True,4,75,73,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,36,64,216,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:36,1087,confirmation,0.296875,0.0,verified_success,57568,735cd77ed5ec6fb7cf51679309867036e8e0df99e4ba178a2dd9492c1ce3a9c8,1,177,735cd77ed5ec6fb7cf51679309867036e8e0df99e4ba178a2dd9492c1ce3a9c8,True,7483357f6ef3ce1fcc2dc5fdaac9001e71b76854944f4923ab3ca29f195f7c6d,64,64
True,4,75,62,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,56,64,205,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:56,1087,confirmation,0.25,0.015000000013969839,verified_success,53245,da5329b0d6090d123a159f1d299bd52373753e3b4742ba4e1ee66d209c0e86b3,1,164,da5329b0d6090d123a159f1d299bd52373753e3b4742ba4e1ee66d209c0e86b3,True,5b4801f162730caf7ba982e9fec613b81bcc6702504b4ae1e788f27b867a8af2,64,64
True,0,75,56,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,10,64,195,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:10,1087,confirmation,0.21875,0.0,verified_success,48607,84f263f4a8e7f22f4b190275caf3df785f3761bd8c5fd202ef6cfae8b00d1f91,1,150,84f263f4a8e7f22f4b190275caf3df785f3761bd8c5fd202ef6cfae8b00d1f91,True,11ccbafb438e10794ace7c8038f99ff54d063730b620d4f7efdece7cbd6111dc,64,64
True,8,75,50,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,154,64,197,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:154,1087,confirmation,0.21875,0.0,verified_success,50105,e7ff3af54d5db98990d67cbe8e5ecc3afb133a0e7a12c16a7be094d279f6f5c9,1,154,e7ff3af54d5db98990d67cbe8e5ecc3afb133a0e7a12c16a7be094d279f6f5c9,True,43cd304a043ddb5618bd939e431ab85090371c3c27f998ad24ddc8e8714fca01,64,64
True,8,75,62,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,376,64,209,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:376,1087,confirmation,0.265625,0.01600000006146729,verified_success,55089,81d53970654b9b76eb01c617eae353dfdac77653d14bbf74427ce5465260f169,1,169,81d53970654b9b76eb01c617eae353dfdac77653d14bbf74427ce5465260f169,True,bda4c935e9a65c1c157dd390cbb6a73a8ee1246a256a642e43ad07acfeb09a57,64,64
True,4,75,53,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,183,64,196,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:183,1087,confirmation,0.21875,0.0,verified_success,49419,2036e97aaab61f7fc52fd179bc0323d207f8b6a4b824fc6c22250c74cf264c39,1,152,2036e97aaab61f7fc52fd179bc0323d207f8b6a4b824fc6c22250c74cf264c39,True,a53885ab225157829f58b418e7c4401ca4cf43ef2c309e829e1ec96105cacf18,64,64
True,4,75,53,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,251,64,196,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:251,1087,confirmation,0.21875,0.0,verified_success,49423,a640efec57f4b9f5cd3441ecca19b521942f581ca6e50665199507f1b5b26209,1,152,a640efec57f4b9f5cd3441ecca19b521942f581ca6e50665199507f1b5b26209,True,100d29dcce28e785f6abad87052ec770c34adc8b7d87530b65bd60c27097d7d5,64,64
True,8,75,58,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,158,64,205,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:158,1087,confirmation,0.25,0.015999999945051968,verified_success,53406,43d81a2cbb476654ea6137dce53507008b186a60eb58052a8e2e3550158681e7,1,164,43d81a2cbb476654ea6137dce53507008b186a60eb58052a8e2e3550158681e7,True,6862d66cee510637e5767049399545d34a83464e505b4e9e7200b0c98818cb6a,64,64
True,4,75,49,real_typeii_20db_d1024_bw120_blk0,True,1024,5.421010862427522e-20,,90,64,192,cascade_formal_v1,64,7a61ce53d17eb721f1f7ead1b73d46792741cf9b82591734c084441e9eeacffe,real_typeii_20db_d1024_bw120_blk0:90,1087,confirmation,0.203125,0.0,verified_success,47624,d7a4d6258a4f0c482132cf00cd6fd2ef9eb5028672ba7df8af1ddb2fdbf8cfbe,1,147,d7a4d6258a4f0c482132cf00cd6fd2ef9eb5028672ba7df8af1ddb2fdbf8cfbe,True,c94b759ec4203dc716c73960094cfd2cd150d44cb02f4a9a5cfee67d785bda69,64,64
