role,stratum_id,plane_id,candidate_id,channel_model_sha256,policy_sha256,matrix_sha256,candidate_valid,backend_identity,frame_id,attempted,status,exact_match,syndrome_bits_disclosed,runtime_s,source_sha256
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f020,true,development_exact_success,true,16,0.0004911998985335231,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f021,true,development_exact_success,true,16,0.000494800042361021,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f022,true,development_exact_success,true,16,0.0004944999236613512,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f023,true,development_exact_success,true,16,0.00048619997687637806,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f024,true,development_exact_success,true,16,0.00048260006587952375,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f025,true,development_exact_success,true,16,0.00048619997687637806,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f026,true,development_exact_success,true,16,0.0005061000119894743,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f027,true,development_exact_success,true,16,0.00048100005369633436,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f028,true,development_exact_success,true,16,0.00047830003313720226,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
sacrificed_development_only,adjacent_nominal,0,0,0171f972572df88019ad478fbeead17eabc44e8f5b2f4142a375d76ddca3bf60,f8318f6b850acd8e9ff5e14194da31650f19e5f3d3d6818310676b0ab8fb49cf,8f6abb42bee69d8ea662583c4b33cc45d1fb364cd1613eac6e50242c7a6d8f71,true,ldpc==2.4.1,v4dev_adjacent_nominal_f029,true,development_exact_success,true,16,0.0004904000088572502,f4f100fd3c985b9925d98f0cf425a7686f1d7b3b2156f6afdc6c2eecae067400
