call_idx,arm,n,seed,point,rows_l1,rows_l2,mode,matrix_id,exact,syndrome_ok,iterations,finite,crash,timeout,wall_timeout,prior_mass_on_truth,wall_s,rss_bytes,watchdog_ok,worker_pid,respawn_pid,error
39,B0_D5_DV3_NATIVE,64,2026091003,square,64,64,L2-oracle,B0_D5_DV3_NATIVE|n64|L1k64/L2k64,True,True,2,True,False,False,False,0.33478823024061705,0.015190100064501166,88432640,True,35976,,
40,T1_PEG_DV3,64,2026091001,square,64,64,L1,T1_PEG_DV3|n64|L1k64/L2k64,False,False,90,True,False,False,False,0.0877572481655559,0.9382473998703063,88436736,True,35976,,
41,B1_D5_DV3_COMMON_LABELS,64,2026091003,f1.2,59,52,L2-oracle,B1_D5_DV3_COMMON_LABELS|n64|L1k59/L2k52,True,True,3,True,False,False,False,0.33478823024061705,0.017199600115418434,88145920,True,19308,,
42,T1_PEG_DV3,64,2026091002,f1.2,59,52,L1,T1_PEG_DV3|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.08255773208352536,0.7015925999730825,88150016,True,19308,,
43,T1_PEG_DV3,64,2026091000,f1.2,59,52,L2-oracle,T1_PEG_DV3|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.2877420345242554,0.6346527000423521,88051712,True,34924,,
44,T1_PEG_DV3,64,2026091000,square,64,64,L2-oracle,T1_PEG_DV3|n64|L1k64/L2k64,True,True,3,True,False,False,False,0.2877420345242554,0.021334500052034855,88018944,True,36844,,
45,T1_PEG_DV3,64,2026091002,square,64,64,L1,T1_PEG_DV3|n64|L1k64/L2k64,False,False,90,True,False,False,False,0.08255773208352536,0.643968699965626,88018944,True,36844,,
46,T1_PEG_DV3,64,2026091001,f1.2,59,52,L2-APP,T1_PEG_DV3|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.0835480789202683,0.724101800005883,88088576,True,47648,,
47,B0_D5_DV3_NATIVE,64,2026091000,f1.2,59,52,L2-oracle,B0_D5_DV3_NATIVE|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.2877420345242554,0.674111400032416,88219648,True,16112,,
48,B0_D5_DV3_NATIVE,64,2026091002,f1.2,59,52,L2-oracle,B0_D5_DV3_NATIVE|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.23389765318024605,0.7219831000547856,88145920,True,5240,,
49,B0_D5_DV3_NATIVE,64,2026091003,f1.2,59,52,L2-oracle,B0_D5_DV3_NATIVE|n64|L1k59/L2k52,True,True,4,True,False,False,False,0.33478823024061705,0.03549519996158779,88129536,True,2868,,
50,B1_D5_DV3_COMMON_LABELS,64,2026091000,f1.2,59,52,L2-oracle,B1_D5_DV3_COMMON_LABELS|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.2877420345242554,0.716560099972412,88199168,True,39856,,
51,B1_D5_DV3_COMMON_LABELS,64,2026091002,f1.2,59,52,L2-oracle,B1_D5_DV3_COMMON_LABELS|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.23389765318024605,0.7064678999595344,87949312,True,30676,,
52,T1_PEG_DV3,64,2026091003,f1.2,59,52,L1,T1_PEG_DV3|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.12199030756002073,0.7899488999973983,88133632,True,2868,,
53,B1_D5_DV3_COMMON_LABELS,64,2026091001,f1.2,59,52,L2-oracle,B1_D5_DV3_COMMON_LABELS|n64|L1k59/L2k52,True,True,5,True,False,False,False,0.2822000156152909,0.028315299889072776,88240128,True,40944,,
54,B0_D5_DV3_NATIVE,64,2026091001,f1.2,59,52,L2-oracle,B0_D5_DV3_NATIVE|n64|L1k59/L2k52,True,True,5,True,False,False,False,0.2822000156152909,0.027813399909064174,88039424,True,40600,,
55,T1_PEG_DV3,64,2026091003,square,64,64,L1,T1_PEG_DV3|n64|L1k64/L2k64,False,False,90,True,False,False,False,0.12199030756002073,0.8589415000751615,88248320,True,40944,,
56,T3_SC_DV3_W4,64,2026091000,f1.2,59,52,L1,T3_SC_DV3_W4|n64|L1k59/L2k52,False,False,-1,False,True,False,False,0.11190363949955584,0.010646899929270148,88043520,True,40600,,ValueError('Check node requires degree >= 2')
57,B1_D5_DV3_COMMON_LABELS,64,2026091002,square,64,64,L2-oracle,B1_D5_DV3_COMMON_LABELS|n64|L1k64/L2k64,True,True,5,True,False,False,False,0.23389765318024605,0.04106709989719093,88244224,True,33636,,
58,T3_SC_DV3_W4,64,2026091000,f1.2,59,52,L2-oracle,T3_SC_DV3_W4|n64|L1k59/L2k52,False,False,-1,False,True,False,False,0.2877420345242554,0.006191599881276488,88047616,True,40600,,ValueError('Check node requires degree >= 2')
59,T3_SC_DV3_W4,64,2026091000,square,64,64,L1,T3_SC_DV3_W4|n64|L1k64/L2k64,False,False,-1,False,True,False,False,0.11190363949955584,0.006733899936079979,88055808,True,40600,,ValueError('Check node requires degree >= 2')
60,T3_SC_DV3_W4,64,2026091000,square,64,64,L2-oracle,T3_SC_DV3_W4|n64|L1k64/L2k64,False,False,-1,False,True,False,False,0.2877420345242554,0.00646440009586513,88055808,True,40600,,ValueError('Check node requires degree >= 2')
61,T3_SC_DV3_W4,64,2026091001,f1.2,59,52,L1,T3_SC_DV3_W4|n64|L1k59/L2k52,False,False,-1,False,True,False,False,0.0877572481655559,0.006651799893006682,88059904,True,40600,,ValueError('Check node requires degree >= 2')
62,T3_SC_DV3_W4,64,2026091001,f1.2,59,52,L2-oracle,T3_SC_DV3_W4|n64|L1k59/L2k52,False,False,-1,False,True,False,False,0.2822000156152909,0.0062945999670773745,88064000,True,40600,,ValueError('Check node requires degree >= 2')
63,T3_SC_DV3_W4,64,2026091001,square,64,64,L1,T3_SC_DV3_W4|n64|L1k64/L2k64,False,False,-1,False,True,False,False,0.0877572481655559,0.006716399919241667,88248320,True,33636,,ValueError('Check node requires degree >= 2')
64,T3_SC_DV3_W4,64,2026091002,f1.2,59,52,L1,T3_SC_DV3_W4|n64|L1k59/L2k52,False,False,-1,False,True,False,False,0.08255773208352536,0.006649699993431568,88068096,True,40600,,ValueError('Check node requires degree >= 2')
65,T3_SC_DV3_W4,64,2026091001,square,64,64,L2-oracle,T3_SC_DV3_W4|n64|L1k64/L2k64,False,False,-1,False,True,False,False,0.2822000156152909,0.006405199877917767,88252416,True,33636,,ValueError('Check node requires degree >= 2')
66,T3_SC_DV3_W4,64,2026091002,f1.2,59,52,L2-oracle,T3_SC_DV3_W4|n64|L1k59/L2k52,False,False,-1,False,True,False,False,0.23389765318024605,0.006134900031611323,88076288,True,40600,,ValueError('Check node requires degree >= 2')
67,T3_SC_DV3_W4,64,2026091002,square,64,64,L1,T3_SC_DV3_W4|n64|L1k64/L2k64,False,False,-1,False,True,False,False,0.08255773208352536,0.006742199882864952,88252416,True,33636,,ValueError('Check node requires degree >= 2')
68,T3_SC_DV3_W4,64,2026091003,f1.2,59,52,L1,T3_SC_DV3_W4|n64|L1k59/L2k52,False,False,-1,False,True,False,False,0.12199030756002073,0.006681500002741814,88080384,True,40600,,ValueError('Check node requires degree >= 2')
69,T3_SC_DV3_W4,64,2026091002,square,64,64,L2-oracle,T3_SC_DV3_W4|n64|L1k64/L2k64,False,False,-1,False,True,False,False,0.23389765318024605,0.006616600090637803,88252416,True,33636,,ValueError('Check node requires degree >= 2')
70,T3_SC_DV3_W4,64,2026091003,f1.2,59,52,L2-oracle,T3_SC_DV3_W4|n64|L1k59/L2k52,False,False,-1,False,True,False,False,0.33478823024061705,0.006210400024428964,88080384,True,40600,,ValueError('Check node requires degree >= 2')
71,T3_SC_DV3_W4,64,2026091003,square,64,64,L1,T3_SC_DV3_W4|n64|L1k64/L2k64,False,False,-1,False,True,False,False,0.12199030756002073,0.0067257999908179045,88252416,True,33636,,ValueError('Check node requires degree >= 2')
72,M1_ACCUMULATOR_FOREST_MAX,64,2026091000,f1.2,59,52,L1,M1_ACCUMULATOR_FOREST_MAX|n64|L1k59/L2k52,False,False,-1,False,True,False,False,0.11190363949955584,0.005343599943444133,88100864,True,40600,,ValueError('Check node requires degree >= 2')
73,M1_ACCUMULATOR_FOREST_MAX,64,2026091000,f1.2,59,52,L2-oracle,M1_ACCUMULATOR_FOREST_MAX|n64|L1k59/L2k52,False,False,-1,False,True,False,False,0.2877420345242554,0.005118299974128604,88113152,True,40600,,ValueError('Check node requires degree >= 2')
74,T3_SC_DV3_W4,64,2026091003,square,64,64,L2-oracle,T3_SC_DV3_W4|n64|L1k64/L2k64,False,False,-1,False,True,False,False,0.33478823024061705,0.006408300017938018,88256512,True,33636,,ValueError('Check node requires degree >= 2')
75,M1_ACCUMULATOR_FOREST_MAX,64,2026091000,square,64,64,L1,M1_ACCUMULATOR_FOREST_MAX|n64|L1k64/L2k64,False,False,-1,False,True,False,False,0.11190363949955584,0.005300000077113509,88117248,True,40600,,ValueError('Check node requires degree >= 2')
76,M1_ACCUMULATOR_FOREST_MAX,64,2026091001,f1.2,59,52,L1,M1_ACCUMULATOR_FOREST_MAX|n64|L1k59/L2k52,False,False,-1,False,True,False,False,0.0877572481655559,0.005239899968728423,88256512,True,33636,,ValueError('Check node requires degree >= 2')
