arm,n,layer,prefix_rows,rank,zero_rows,zero_columns,connected_components,largest_component_fraction,four_cycles,four_cycle_variable_incidence_max,duplicate_projective_columns,base_pair_duplicates,support_triple_duplicates,row_degree_max,row_degree_sumsq,girth,girth_reason,m_cycle_rank,window_overflow,eligible,determinism_ok
T3_SC_DV3_W4,64,L2,52,52,0,0,1,1.0,7,2,0,0,0,4,669,4,,,2,True,True
T3_SC_DV3_W4,64,L2,64,64,0,0,1,1.0,8,2,0,0,0,4,690,4,,,2,True,True
T3_SC_DV3_W4,128,L1,98,98,0,0,1,1.0,6,2,0,0,0,4,1281,4,,,2,True,True
T3_SC_DV3_W4,128,L1,118,118,0,0,1,1.0,6,2,0,0,0,4,1301,4,,,2,True,True
T3_SC_DV3_W4,128,L1,128,128,0,0,1,1.0,7,2,0,0,0,4,1320,4,,,2,True,True
T3_SC_DV3_W4,128,L2,86,86,0,0,1,1.0,7,2,0,0,0,4,1341,4,,,2,True,True
T3_SC_DV3_W4,128,L2,104,104,0,0,1,1.0,7,2,0,0,0,4,1359,4,,,2,True,True
T3_SC_DV3_W4,128,L2,128,128,0,0,1,1.0,8,2,0,0,0,4,1392,4,,,2,True,True
T3_SC_DV3_W4,256,L1,196,196,0,0,1,1.0,6,2,0,0,0,4,2583,4,,,2,True,True
T3_SC_DV3_W4,256,L1,236,236,0,0,1,1.0,6,2,0,0,0,4,2623,4,,,2,True,True
T3_SC_DV3_W4,256,L1,256,256,0,0,1,1.0,7,2,0,0,0,4,2652,4,,,2,True,True
T3_SC_DV3_W4,256,L2,172,172,0,0,1,1.0,7,2,0,0,0,4,2703,4,,,2,True,True
T3_SC_DV3_W4,256,L2,208,208,0,0,1,1.0,7,2,0,0,0,4,2739,4,,,2,True,True
T3_SC_DV3_W4,256,L2,256,256,0,0,1,1.0,8,2,0,0,0,4,2796,4,,,2,True,True
T4_SC_DV3_W8,64,L1,49,49,0,0,1,1.0,9,1,0,0,0,6,624,4,,,2,True,True
T4_SC_DV3_W8,64,L1,59,59,0,0,1,1.0,10,1,0,0,0,6,640,4,,,2,True,True
T4_SC_DV3_W8,64,L1,64,64,0,0,1,1.0,12,1,0,0,0,6,660,4,,,2,True,True
T4_SC_DV3_W8,64,L2,43,43,0,0,1,1.0,11,2,0,0,0,6,650,4,,,3,True,True
T4_SC_DV3_W8,64,L2,52,52,0,0,1,1.0,11,2,0,0,0,6,659,4,,,3,True,True
T4_SC_DV3_W8,64,L2,64,64,0,0,1,1.0,14,2,0,0,0,6,692,4,,,3,True,True
T4_SC_DV3_W8,128,L1,98,98,0,0,1,1.0,9,1,0,0,0,6,1275,4,,,2,True,True
T4_SC_DV3_W8,128,L1,118,118,0,0,1,1.0,9,1,0,0,0,6,1295,4,,,2,True,True
T4_SC_DV3_W8,128,L1,128,128,0,0,1,1.0,12,1,0,0,0,6,1326,4,,,2,True,True
T4_SC_DV3_W8,128,L2,86,86,0,0,1,1.0,11,2,0,0,0,6,1331,4,,,3,True,True
T4_SC_DV3_W8,128,L2,104,104,0,0,1,1.0,11,2,0,0,0,6,1349,4,,,3,True,True
T4_SC_DV3_W8,128,L2,128,128,0,0,1,1.0,14,2,0,0,0,6,1394,4,,,3,True,True
T4_SC_DV3_W8,256,L1,196,196,0,0,1,1.0,9,1,0,0,0,6,2577,4,,,2,True,True
T4_SC_DV3_W8,256,L1,236,236,0,0,1,1.0,9,1,0,0,0,6,2617,4,,,2,True,True
T4_SC_DV3_W8,256,L1,256,256,0,0,1,1.0,12,1,0,0,0,6,2658,4,,,2,True,True
T4_SC_DV3_W8,256,L2,172,172,0,0,1,1.0,11,2,0,0,0,6,2693,4,,,3,True,True
T4_SC_DV3_W8,256,L2,208,208,0,0,1,1.0,11,2,0,0,0,6,2729,4,,,3,True,True
T4_SC_DV3_W8,256,L2,256,256,0,0,1,1.0,14,2,0,0,0,6,2798,4,,,3,True,True
