identity_idx,f,seed,condition,layer,rows,n,layered_exact,flooding_exact,layered_only_exact,flooding_only_exact,both_exact,neither_exact,layered_syndrome_ok,flooding_syndrome_ok,layered_only_syndrome_ok,flooding_only_syndrome_ok,both_syndrome_ok,neither_syndrome_ok,iteration_diff,check_update_diff,edge_update_diff,wall_ratio
73,1.2,2026091302,L1_MARGINAL,L1,59,64,True,True,False,False,True,False,True,True,False,False,True,False,9,531,1593,1.9680324341968314
74,1.2,2026091302,L1_ORACLE_U2,L1,59,64,True,True,False,False,True,False,True,True,False,False,True,False,2,118,354,1.647795265713808
75,1.2,2026091302,L2_MARGINAL,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9746794322090587
76,1.2,2026091302,L2_ORACLE_U1,L2,52,64,True,True,False,False,True,False,True,True,False,False,True,False,2,104,312,1.648361580975942
77,1.2,2026091303,L1_MARGINAL,L1,59,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9971394519649643
78,1.2,2026091303,L1_ORACLE_U2,L1,59,64,True,True,False,False,True,False,True,True,False,False,True,False,3,177,531,1.5794974809937428
79,1.2,2026091303,L2_MARGINAL,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9730160554809313
80,1.2,2026091303,L2_ORACLE_U1,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9772933502668992
81,1.2,2026091304,L1_MARGINAL,L1,59,64,True,True,False,False,True,False,True,True,False,False,True,False,6,354,1062,1.8185924370824826
82,1.2,2026091304,L1_ORACLE_U2,L1,59,64,True,True,False,False,True,False,True,True,False,False,True,False,2,118,354,2.0073910149024776
83,1.2,2026091304,L2_MARGINAL,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.987798399935176
84,1.2,2026091304,L2_ORACLE_U1,L2,52,64,True,True,False,False,True,False,True,True,False,False,True,False,5,260,780,1.8916677417709729
85,1.2,2026091305,L1_MARGINAL,L1,59,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9719917125723637
86,1.2,2026091305,L1_ORACLE_U2,L1,59,64,True,True,False,False,True,False,True,True,False,False,True,False,66,3894,11682,8.88504440555696
87,1.2,2026091305,L2_MARGINAL,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9832995780514752
88,1.2,2026091305,L2_ORACLE_U1,L2,52,64,True,True,False,False,True,False,True,True,False,False,True,False,13,676,2028,1.822475225841628
89,1.2,2026091306,L1_MARGINAL,L1,59,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9745906646055674
90,1.2,2026091306,L1_ORACLE_U2,L1,59,64,True,True,False,False,True,False,True,True,False,False,True,False,2,118,354,1.465220732018039
91,1.2,2026091306,L2_MARGINAL,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9933782272529001
92,1.2,2026091306,L2_ORACLE_U1,L2,52,64,True,True,False,False,True,False,True,True,False,False,True,False,3,156,468,2.0000072797534445
93,1.2,2026091307,L1_MARGINAL,L1,59,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9956458404352041
94,1.2,2026091307,L1_ORACLE_U2,L1,59,64,True,True,False,False,True,False,True,True,False,False,True,False,3,177,531,1.8892745478814361
95,1.2,2026091307,L2_MARGINAL,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,1.0127161324467548
96,1.2,2026091307,L2_ORACLE_U1,L2,52,64,True,True,False,False,True,False,True,True,False,False,True,False,6,312,936,1.9260013803668934
97,1.2,2026091308,L1_MARGINAL,L1,59,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.985602839838371
98,1.2,2026091308,L1_ORACLE_U2,L1,59,64,True,True,False,False,True,False,True,True,False,False,True,False,3,177,531,1.722415693872085
99,1.2,2026091308,L2_MARGINAL,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9986606022262937
100,1.2,2026091308,L2_ORACLE_U1,L2,52,64,True,True,False,False,True,False,True,True,False,False,True,False,6,312,936,1.6273713838297048
101,1.2,2026091309,L1_MARGINAL,L1,59,64,True,False,True,False,False,False,True,False,True,False,False,False,10,590,1770,1.1060112995575955
102,1.2,2026091309,L1_ORACLE_U2,L1,59,64,True,True,False,False,True,False,True,True,False,False,True,False,1,59,177,1.2591834955670718
103,1.2,2026091309,L2_MARGINAL,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9636949243325148
104,1.2,2026091309,L2_ORACLE_U1,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9966809591778751
105,1.2,2026091310,L1_MARGINAL,L1,59,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9929694533761735
106,1.2,2026091310,L1_ORACLE_U2,L1,59,64,True,True,False,False,True,False,True,True,False,False,True,False,2,118,354,1.3573443981876088
107,1.2,2026091310,L2_MARGINAL,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9989436437772906
108,1.2,2026091310,L2_ORACLE_U1,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9974597380317323
109,1.2,2026091311,L1_MARGINAL,L1,59,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.965366154713094
110,1.2,2026091311,L1_ORACLE_U2,L1,59,64,True,True,False,False,True,False,True,True,False,False,True,False,3,177,531,1.9821390969940529
111,1.2,2026091311,L2_MARGINAL,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9873084598572919
112,1.2,2026091311,L2_ORACLE_U1,L2,52,64,True,True,False,False,True,False,True,True,False,False,True,False,7,364,1092,1.6681578521862703
113,1.2,2026091312,L1_MARGINAL,L1,59,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9826089776529199
114,1.2,2026091312,L1_ORACLE_U2,L1,59,64,True,True,False,False,True,False,True,True,False,False,True,False,1,59,177,1.3091150434248817
115,1.2,2026091312,L2_MARGINAL,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,1.0045260555476525
116,1.2,2026091312,L2_ORACLE_U1,L2,52,64,True,True,False,False,True,False,True,True,False,False,True,False,4,208,624,1.807374076049222
117,1.2,2026091313,L1_MARGINAL,L1,59,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9808172581997708
118,1.2,2026091313,L1_ORACLE_U2,L1,59,64,True,True,False,False,True,False,True,True,False,False,True,False,2,118,354,2.0285068809125892
119,1.2,2026091313,L2_MARGINAL,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,1.0205981933759956
120,1.2,2026091313,L2_ORACLE_U1,L2,52,64,True,True,False,False,True,False,True,True,False,False,True,False,18,936,2808,2.0351203185652813
121,1.2,2026091314,L1_MARGINAL,L1,59,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9742888153067735
122,1.2,2026091314,L1_ORACLE_U2,L1,59,64,True,True,False,False,True,False,True,True,False,False,True,False,2,118,354,1.7119157419556525
123,1.2,2026091314,L2_MARGINAL,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9701417282172575
124,1.2,2026091314,L2_ORACLE_U1,L2,52,64,True,True,False,False,True,False,True,True,False,False,True,False,3,156,468,1.736354373867143
125,1.2,2026091315,L1_MARGINAL,L1,59,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9758603126230949
126,1.2,2026091315,L1_ORACLE_U2,L1,59,64,True,True,False,False,True,False,True,True,False,False,True,False,11,649,1947,2.4919577712798873
127,1.2,2026091315,L2_MARGINAL,L2,52,64,False,False,False,False,False,True,False,False,False,False,False,True,0,0,0,0.9890599150353774
128,1.2,2026091315,L2_ORACLE_U1,L2,52,64,True,True,False,False,True,False,True,True,False,False,True,False,18,936,2808,2.065982828640741
