call_idx,identity_idx,schedule,f,seed,condition,layer,rows,n,exact,syndrome_ok,iterations,status,finite,symbol_errors,unsatisfied_checks,wall_s,rss_bytes,check_node_updates,check_edge_updates,belief_max_prob,belief_mean_true_p,belief_mean_entropy,beliefs_conditioned,current_belief_label
34,17,FLOODING,1.0,2026091304,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,30,37,0.3723365059995558,105304064,4410,13230,0.6919337489604152,0.26173457116929927,3.810467594197537,True,CHECK_UPDATED_CURRENT_BELIEF
35,18,ROW_LAYERED,1.0,2026091304,L1_ORACLE_U2,L1,49,64,True,True,4,converged_exact,True,0,0,0.01575555199815426,105304064,196,588,1.0,0.9965433485044233,0.014383161545756966,True,CHECK_UPDATED_CURRENT_BELIEF
36,18,FLOODING,1.0,2026091304,L1_ORACLE_U2,L1,49,64,True,True,7,converged_exact,True,0,0,0.027465533996291924,105304064,343,1029,1.0,0.9997368237260472,0.0028018091572650262,True,CHECK_UPDATED_CURRENT_BELIEF
37,19,ROW_LAYERED,1.0,2026091304,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,37,41,0.31242661499709357,105304064,3870,11610,0.5957586026974316,0.16922857635684524,4.171935341118306,True,CHECK_UPDATED_CURRENT_BELIEF
38,19,FLOODING,1.0,2026091304,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,37,41,0.3110787089972291,105304064,3870,11610,0.5957586026974329,0.1692285763568453,4.171935341118306,True,CHECK_UPDATED_CURRENT_BELIEF
39,20,ROW_LAYERED,1.0,2026091304,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,9,3,0.35162183400098,105304064,3870,11610,1.0,0.816718519000746,0.6078534701699028,True,CHECK_UPDATED_CURRENT_BELIEF
40,20,FLOODING,1.0,2026091304,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,9,3,0.3454448529955698,105304064,3870,11610,1.0,0.8168876812698401,0.6062400084621857,True,CHECK_UPDATED_CURRENT_BELIEF
41,21,ROW_LAYERED,1.0,2026091305,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,40,29,0.39937639399431646,105304064,4410,13230,0.7351843614483632,0.2063777341687761,3.825669892573482,True,CHECK_UPDATED_CURRENT_BELIEF
42,21,FLOODING,1.0,2026091305,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,40,29,0.37572676700074226,105304064,4410,13230,0.6708699191806218,0.19130847731402792,3.908313222454181,True,CHECK_UPDATED_CURRENT_BELIEF
43,22,ROW_LAYERED,1.0,2026091305,L1_ORACLE_U2,L1,49,64,False,False,90,converged_no_syndrome,True,27,11,0.3591755750021548,105304064,4410,13230,0.9999999999996236,0.5117522427686279,1.967631066658636,True,CHECK_UPDATED_CURRENT_BELIEF
